ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability
com.aelitis.azureus.core.devices.impl.TranscodeFileImpl.setCopyingToDevice,0,0,0,0,0,0,0,0,0,0.6975417735302102
com.aelitis.azureus.core.download.event.getOffset,0,0,0,0,0,0,0,0,0,1.8735998714870454
com.aelitis.azureus.ui.swt.devices.SBC_DevicesView.dragStart,0,0,0,0,0,0,0,0,0,2.116909125239682
com.aelitis.azureus.core.devices.impl.TranscodeProviderVuze.updateProgress,0,0,0,0,0,0,0,0,0,2.55
com.aelitis.azureus.core.torrent.PlatformTorrentUtils.getContentMapMap,0,0,0,0,0,0,0,0,0,2.9899999999999998
com.aelitis.azureus.core.speedmanager.DML.exportBoolean,0,0,0,0,0,0,0,0,0,3.2733333333333334
com.aelitis.azureus.ui.swt.devices.deviceView.mouseMove,0,0,0,0,0,0,0,0,0,2.704701401154229
com.aelitis.azureus.ui.swt.columns.tag.ColumnTagUpLimit.ColumnTagUpLimit,0,0,0,0,0,0,0,0,0,4.48
com.aelitis.azureus.ui.swt.columns.ColumnCheckBox.Non_in_method,0,0,0,0,0,0,0,0,0,3.9825000000000004
com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer.setControl,0,0,0,0,0,0,0,0,0,1.402661242112223
com.aelitis.azureus.core.networkmanager.impl.http.HTTPMessageEncoder.setConnection,0,0,0,0,0,0,0,0,0,1.5
com.aelitis.azureus.core.util.FeatureAvailability.isGeneralPeerReconnectEnabled,0,0,0,0,0,0,0,0,0,1.30038567423159
com.aelitis.azureus.plugins.net.buddy.BuddyPluginBuddy.getIP,0,0,0,0,0,0,0,0,0,0.0
com.aelitis.azureus.plugins.net.buddy.tracker.BuddyPluginTracker.downloadAdded,0,0,0,0,0,0,0,0,0,1.56
com.aelitis.azureus.core.instancemanager.impl.AZInstanceManagerImpl.run,0,0,0,0,0,0,0,0,0,1.536751926905863
com.aelitis.azureus.core.devices.impl.DeviceMediaRendererManual.setCopyOutstanding,0,0,0,0,0,0,0,0,0,2.4680841912494116
com.aelitis.azureus.core.networkmanager.admin.impl.BitTorrentResult.getTestTime,0,0,0,0,0,0,0,0,0,2.5705992808823486
com.aelitis.azureus.core.networkmanager.impl.udp.NetworkGlueLoopBack.NetworkGlueLoopBack,0,0,0,0,0,0,0,0,0,3.407720377229494
com.aelitis.azureus.ui.swt.views.skin.SBC_ActivityView.getNumSelected,0,0,0,0,0,0,0,0,0,2.720818890944533
com.aelitis.azureus.core.devices.impl.TranscodeFileImpl.getProfileName,0,0,0,0,0,0,0,0,0,0.6577281569379588
com.aelitis.azureus.plugins.extseed.impl.ExternalSeedReaderImpl.getBooleanParam,0,0,0,0,0,0,0,0,0,2.81
com.aelitis.azureus.core.peermanager.piecepicker.impl.ParameterListenerImpl.getNextBlockETAFromNow,0,0,0,0,0,0,0,0,0,1.8372222222222223
com.aelitis.azureus.ui.swt.devices.DeviceInfoArea.failed,0,0,0,0,0,0,0,0,0,0.0
com.aelitis.azureus.core.networkmanager.admin.impl.NetworkAdminImpl.instanceTracked,0,0,0,0,0,0,0,0,0,1.315301820666932
com.aelitis.azureus.core.dht.control.impl.ANImpl.statsRequest,0,0,0,0,0,0,0,0,0,3.86
com.aelitis.azureus.core.lws.LWSPeerManagerAdapter.protocolBytesReceived,0,0,0,0,0,0,0,0,0,1.915
com.aelitis.azureus.core.download.SMDImpl.setPreviewMode,0,0,0,0,0,0,0,0,0,2.2782153890312786
com.aelitis.azureus.core.devices.DeviceManagerFactory.preInitialise,0,0,0,0,0,0,0,0,0,1.6463524978812571
com.aelitis.azureus.ui.swt.shells.opentorrent.OpenTorrentInstance.initialize,0,0,0,0,0,0,0,0,0,1.6722041881903424
com.aelitis.azureus.plugins.extseed.impl.ExternalSeedReaderRequest.getBufferPosition,0,0,0,1,0,0,0,0,0,2.0842292100883526
com.aelitis.azureus.ui.swt.columns.tagdiscovery.ColumnTagDiscoveryTorrent.refresh,0,0,0,0,0,0,0,0,0,3.4000000000000004
com.aelitis.azureus.ui.swt.subscriptions.SubscriptionViewInternal.changed,0,0,0,0,0,0,0,0,0,2.69
com.aelitis.azureus.core.tag.impl.TagPropertyConstraintHandler.taggableCreated,0,0,0,0,0,0,0,0,0,0.0
com.aelitis.azureus.core.networkmanager.impl.NetworkConnectionImpl.connect,0,0,0,0,0,0,0,0,0,2.010949027404723
com.aelitis.azureus.core.dht.control.impl.ASImpl.ASImpl,0,0,0,0,0,0,0,0,0,3.5728205797539143
com.aelitis.azureus.ui.swt.Initializer.restartRequested,0,0,0,0,0,0,0,0,0,0.8602645593779059
com.aelitis.azureus.core.tag.TagTypeAdapter.tagRemoved,0,0,0,0,0,0,0,0,0,4.25
com.aelitis.azureus.core.peermanager.utils.OutgoingBTPieceMessageHandler.setPieceVersion,0,0,0,0,0,0,0,0,0,2.0562915912323545
com.aelitis.azureus.core.content.RelatedContentManager.saveRelatedContent,0,0,1,0,0,0,0,0,0,1.462676391944783
com.aelitis.azureus.core.security.CryptoManagerPasswordException.wasIncorrect,0,0,0,0,0,0,0,0,0,1.7899752250745116
com.aelitis.azureus.ui.swt.views.skin.SBC_TorrentDetailsView.addSection,0,0,0,0,0,0,0,0,0,2.8577746190537963
com.aelitis.azureus.core.tag.impl.TagTypeBase.addTagType,0,0,0,0,0,0,0,0,0,3.317800649258998
com.aelitis.azureus.core.dht.transport.loopback.DHTTransportLoopbackImpl.writeReadTransfer,0,0,0,0,0,0,0,0,0,3.69
com.aelitis.azureus.core.diskmanager.cache.impl.CacheFileWithoutCacheMT.getTorrentFile,0,0,0,0,0,0,0,0,0,3.370042919826294
com.aelitis.azureus.plugins.tracker.dht.RegistrationDetails.updateTargets,0,0,0,0,0,0,0,0,0,1.421490451088745
com.aelitis.azureus.core.speedmanager.impl.SpeedManagerPingMapperImpl.getZones,0,0,0,0,0,0,0,0,0,0.0
com.aelitis.azureus.core.subs.impl.SubscriptionImpl.fromMap,0,0,0,0,0,0,0,0,0,1.6706377736003637
com.aelitis.azureus.plugins.magnet.MagnetPluginMDDownloader.peerManagerAdded,0,0,0,0,0,0,0,0,0,1.3969151102034145
com.aelitis.azureus.ui.swt.shells.main.UIFunctionsImpl.closePluginViews,0,0,0,0,0,0,0,0,0,0.6222222222222221
