ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability,Lines
risk.ui.SwingGUI.GameTab.closeGame,0,0,0,0,0,0,0,0,0,1.1784032847155137,18
risk.engine.Risk.deleteRiskListener,0,0,0,0,0,0,0,0,0,1.4709407155541048,1
risk.ui.SwingGUI.SwingRiskAdapter.addPlayer,0,0,0,0,0,0,0,0,0,1.895,1
risk.engine.core.RiskGame.setCardsfile,0,1,0,0,1,0,0,0,0,0.8156369811348868,30
risk.engine.core.RiskGame.getGameMode,0,0,0,0,0,0,0,0,0,1.783934377036627,1
risk.ui.FlashGUI.FlashRiskAdapter.armiesLeft,0,0,0,0,0,0,0,0,0,1.972975397230493,1
risk.ui.FlashGUI.GameFrame.needInput,0,0,0,0,0,0,0,0,0,0.9588334720932927,62
risk.engine.guishared.PicturePanel.getC2,0,0,0,0,0,0,0,0,0,1.2122137381353635,1
risk.tools.mapeditor.MapEditor.setVisible,0,0,0,0,0,0,0,0,0,2.3567096561711507,11
risk.ui.FlashGUI.StatsDialog.windowClosing,0,0,0,0,0,0,0,0,0,0.0,1
risk.ui.SwingGUI.FX3DPanel.mouseReleased,0,0,0,0,0,0,0,0,0,0.0,0
risk.ui.FlashGUI.joinPanel.mouseDragged,0,0,0,0,0,0,0,0,0,2.1567845897517826,12
risk.engine.RiskController.setNODAttacker,0,0,0,0,0,0,0,0,0,0.38,4
risk.ui.FlashGUI.MainMenu.main,0,0,0,0,0,0,0,0,0,0.0,2
risk.tools.mapeditor.MapEditorPanel.contains,0,0,1,0,0,0,0,0,0,1.117547024797857,14
risk.engine.RiskController.closeBattle,0,0,0,0,0,0,0,0,0,0.5066666666666667,4
risk.ui.SwingGUI.placeArmiesPanel.actionPerformed,0,0,0,0,0,0,0,0,0,1.46,1
risk.lobby.client.ClientGameRisk.gameObject,0,0,0,0,0,0,0,0,0,1.22,1
risk.engine.core.Player.setAutoDefend,0,0,0,0,0,0,0,0,0,0.0,1
risk.tools.mapeditor.CountriesListModel.getElementAt,0,0,0,0,0,0,0,0,0,3.43,4
risk.tools.translation.YuraTextEditor.lineformatHTML,0,0,0,0,0,0,0,0,0,0.4926302314868464,14
risk.engine.guishared.countryImage.setNormalImage,0,0,0,0,0,0,0,0,0,1.7377690665324936,1
risk.engine.core.Continent.setName,0,0,0,0,0,0,0,0,0,2.119307629276001,1
risk.engine.guishared.StatsPanel.drawPlayerGraph,0,0,0,0,0,0,0,0,0,1.5896205322749222,11
risk.engine.core.Player.addArmies,0,0,0,0,0,0,0,0,0,0.4392213027015279,1
risk.ui.SimpleGUI.RiskGUI.setGameStatus,0,0,0,0,0,0,0,0,0,3.004887493422723,2
risk.ui.FlashGUI.MoveDialog.stateChanged,0,0,0,0,0,0,0,0,0,1.2966337968269028,2
risk.engine.guishared.BrowserLauncher.openURL,0,1,0,0,0,0,0,0,0,1.4078200419974045,49
risk.engine.core.Player.addPlayersEliminated,0,0,0,0,0,0,0,0,0,0.0,1
risk.engine.guishared.ErdeAnsicht.rotonepoint,0,0,0,0,0,0,0,0,0,0.0,4
risk.ui.SwingGUI.FX3DPanel.getToolBar,0,0,0,0,0,0,0,0,0,3.2160505106959847,1
risk.tools.translation.DoublePanel.setWrap,0,0,0,0,0,0,0,0,0,2.4571400210808663,2
risk.engine.ai.AIPlayer.getWait,0,0,0,0,0,0,0,0,0,2.68,1
risk.tools.mapeditor.MapEditor.checkMap,0,0,1,0,0,0,0,0,0,1.07350179380409,46
risk.tools.translation.MessageTool.checkChange,0,0,0,0,0,0,0,0,0,2.648785709125342,9
risk.tools.translation.YuraTextEditor.revert,0,0,0,0,0,0,0,0,0,0.0,1
