ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability
risk.ui.SwingGUI.GameTab.closeGame,0,0,0,0,0,0,0,0,0,1.1784032847155137
risk.engine.Risk.deleteRiskListener,0,0,0,0,0,0,0,0,0,1.4709407155541048
risk.ui.SwingGUI.SwingRiskAdapter.addPlayer,0,0,0,0,0,0,0,0,0,1.895
risk.engine.core.RiskGame.setCardsfile,0,1,0,0,1,0,0,0,0,0.8156369811348868
risk.engine.core.RiskGame.getGameMode,0,0,0,0,0,0,0,0,0,1.783934377036627
risk.ui.FlashGUI.FlashRiskAdapter.armiesLeft,0,0,0,0,0,0,0,0,0,1.972975397230493
risk.ui.FlashGUI.GameFrame.needInput,0,0,0,0,0,0,0,0,0,0.9588334720932927
risk.engine.guishared.PicturePanel.getC2,0,0,0,0,0,0,0,0,0,1.2122137381353635
risk.tools.mapeditor.MapEditor.setVisible,0,0,0,0,0,0,0,0,0,2.3567096561711507
risk.ui.FlashGUI.StatsDialog.windowClosing,0,0,0,0,0,0,0,0,0,0.0
risk.ui.SwingGUI.FX3DPanel.mouseReleased,0,0,0,0,0,0,0,0,0,0.0
risk.ui.FlashGUI.joinPanel.mouseDragged,0,0,0,0,0,0,0,0,0,2.1567845897517826
risk.ui.SwingGUI.CutAction.CutAction,0,0,0,0,0,0,0,0,0,4.195
risk.engine.RiskController.setNODAttacker,0,0,0,0,0,0,0,0,0,0.38
risk.ui.SwingGUI.winnerPanel.winnerPanel,0,0,0,0,0,0,0,0,0,2.23
risk.ui.FlashGUI.MainMenu.main,0,0,0,0,0,0,0,0,0,0.0
risk.tools.mapeditor.MapEditorPanel.contains,0,0,1,0,0,0,0,0,0,1.117547024797857
risk.engine.RiskController.closeBattle,0,0,0,0,0,0,0,0,0,0.5066666666666667
risk.ui.SwingGUI.placeArmiesPanel.actionPerformed,0,0,0,0,0,0,0,0,0,1.46
risk.lobby.client.ClientGameRisk.gameObject,0,0,0,0,0,0,0,0,0,1.22
risk.engine.core.Player.setAutoDefend,0,0,0,0,0,0,0,0,0,0.0
risk.tools.mapeditor.CountriesListModel.getElementAt,0,0,0,0,0,0,0,0,0,3.43
risk.tools.translation.YuraTextEditor.lineformatHTML,0,0,0,0,0,0,0,0,0,0.4926302314868464
risk.engine.guishared.countryImage.setNormalImage,0,0,0,0,0,0,0,0,0,1.7377690665324936
risk.engine.core.Continent.setName,0,0,0,0,0,0,0,0,0,2.119307629276001
risk.engine.guishared.StatsPanel.drawPlayerGraph,0,0,0,0,0,0,0,0,0,1.5896205322749222
risk.engine.core.Player.addArmies,0,0,0,0,0,0,0,0,0,0.4392213027015279
risk.ui.FlashGUI.JoinDialog.JoinDialog,0,0,0,0,0,0,0,0,0,1.2427833992439534
risk.ui.SimpleGUI.RiskGUI.setGameStatus,0,0,0,0,0,0,0,0,0,3.004887493422723
risk.ui.FlashGUI.MoveDialog.stateChanged,0,0,0,0,0,0,0,0,0,1.2966337968269028
risk.engine.guishared.BrowserLauncher.openURL,0,1,0,0,0,0,0,0,0,1.4078200419974045
risk.engine.core.Player.addPlayersEliminated,0,0,0,0,0,0,0,0,0,0.0
risk.engine.guishared.ErdeAnsicht.rotonepoint,0,0,0,0,0,0,0,0,0,0.0
risk.ui.SwingGUI.FX3DPanel.getToolBar,0,0,0,0,0,0,0,0,0,3.2160505106959847
risk.tools.translation.DoublePanel.setWrap,0,0,0,0,0,0,0,0,0,2.4571400210808663
risk.engine.ai.AIPlayer.getWait,0,0,0,0,0,0,0,0,0,2.68
risk.tools.mapeditor.MapEditor.checkMap,0,0,1,0,0,0,0,0,0,1.07350179380409
risk.tools.translation.MessageTool.checkChange,0,0,0,0,0,0,0,0,0,2.648785709125342
risk.tools.translation.YuraTextEditor.revert,0,0,0,0,0,0,0,0,0,0.0
risk.engine.core.Player.getMission,0,0,0,0,0,0,0,0,0,2.0003774075123237
risk.lobby.client.RiskMap.loadInfo,0,0,0,0,0,0,0,0,0,1.4658763509785424
risk.engine.RiskAdapter.setSlider,0,0,0,0,0,0,0,0,0,0.5
risk.lobby.client.GameSetupPanel.reset,0,0,0,0,0,0,0,0,0,0.0
risk.engine.core.RiskGame.setCurrentPlayer,0,0,0,0,0,0,0,0,0,1.4726090981195157
risk.engine.core.Country.addNeighbour,0,0,0,0,0,0,0,0,0,0.0
risk.ui.FlashGUI.BattleDialog.BattleDialog,0,0,0,0,0,0,0,0,0,1.2765679288609142
risk.tools.translation.MessageTool.redoMessage,0,0,0,0,0,0,0,0,0,1.2562910746660598
risk.ui.SwingGUI.SwingRiskAdapter.showCardsFile,0,0,0,0,0,0,0,0,0,0.0
risk.engine.core.RiskGame.NoEmptyCountries,1,0,0,0,0,0,0,0,0,1.1306184559890793
risk.ui.SwingGUI.movePanel.movePanel,0,0,0,0,0,0,0,0,0,2.69
risk.engine.core.RiskGame.getMapName,0,0,0,0,0,0,0,0,0,2.154410795073284
risk.tools.translation.YuraTextEditor.format,0,0,1,0,0,0,0,0,0,0.8921309630205183
risk.engine.ai.AIHard.playerKilled,0,0,0,0,0,0,0,0,0,1.08
risk.engine.core.Mission.getContinent2,0,0,0,0,0,0,0,0,0,2.5922587328665627
risk.tools.translation.TableSize.mouseReleased,0,0,0,0,0,0,0,0,0,0.0
risk.engine.core.Player.getNoTerritoriesOwned,0,0,0,0,0,0,0,0,0,0.0
risk.engine.guishared.ErdeAnsicht.proj,0,0,0,0,0,0,0,0,0,0.0
risk.ui.FlashGUI.FlashRiskAdapter.closeGame,0,0,1,0,0,0,0,0,0,1.5373857138791698
risk.tools.translation.MessageTool.run,0,0,0,0,0,0,0,0,0,1.8052415491749287
risk.engine.RiskUtil.getHexForColor,0,0,0,0,0,0,0,0,0,0.0
risk.engine.ai.AIHard.getBattleWon,0,0,0,0,0,0,0,0,0,3.5521992576509187
risk.engine.Risk.getRiskConfig,0,0,0,0,0,0,0,0,0,0.73
risk.engine.core.RiskGame.getImagePic,0,0,0,0,0,0,0,0,0,0.9842086097572087
risk.engine.core.RiskGame.getDesrvedCard,0,0,0,0,0,0,0,0,0,0.3383150699256138
risk.engine.translation.MapTranslator.setCards,0,0,0,0,0,0,0,0,0,1.526642199404278
risk.ui.FlashGUI.BattlePanel.mouseReleased,0,0,0,0,0,0,0,0,0,0.0
risk.engine.core.RiskGame.getNoMissions,0,0,0,0,0,0,0,0,0,0.0
risk.engine.core.RiskGame.setMemoryLoad,0,0,0,0,0,0,0,0,0,0.8337755010929846
risk.engine.Replay.isOwnedCurrentPlayerInt,0,0,0,0,0,0,0,0,0,3.5
risk.lobby.server.ServerGameRisk.doBasicGo,0,0,0,0,0,0,0,0,0,1.4269143865520202
risk.engine.core.Player.getName,0,0,0,0,0,0,0,0,0,2.556847446757397
risk.ui.SwingGUI.SwingGUIPanel.stateChanged,0,0,0,0,0,0,0,0,0,0.8336704761599758
risk.ui.SwingGUI.StatisticsTab.showMission,0,0,0,0,0,0,0,0,0,2.9
risk.ui.SwingGUI.BasicAction.setTextComponent,0,0,0,0,0,0,0,0,0,0.0
risk.ui.FlashGUI.StatsDialog.actionPerformed,0,0,0,0,0,0,0,0,0,2.3798067400769973
risk.tools.translation.RiskComm.load,0,0,0,0,0,0,0,1,0,0.842
risk.ui.FlashGUI.MainMenu.mouseDragged,0,0,0,0,0,0,0,0,0,1.92618361654012
risk.lobby.server.ServerGameRisk.clientHasJoined,0,0,0,0,0,0,0,0,0,1.439132649615024
risk.ui.SwingGUI.NamedColor.findColor,0,0,0,0,0,0,0,0,0,2.2562857457489036
risk.ui.FlashGUI.GameFrame.keyPressed,0,0,0,0,0,0,0,0,0,2.69
risk.ui.FlashGUI.MyColor.getY,0,0,0,0,0,0,0,0,0,0.9563466124498369
risk.engine.guishared.BrowserLauncher.ICStop,0,0,0,0,0,0,0,0,0,1.97
risk.ui.SimpleGUI.RiskGUI.startGame,0,0,0,0,0,0,0,0,0,0.7667647704790802
risk.engine.guishared.SimplePrintStream.SimplePrintStream,0,0,0,0,0,0,0,0,0,0.73
risk.engine.core.Country.getColor,0,0,0,0,0,0,0,0,0,2.8284752155973276
risk.ui.SwingGUI.CardsDialog.populate,0,0,0,0,0,0,0,0,0,0.41649993536408403
risk.engine.guishared.ErdeAnsicht.rot,0,0,0,0,0,0,0,0,0,0.0
risk.ui.CommandLine.CommandText.CommandText,0,0,0,0,0,0,0,0,0,0.8118210097664083
risk.engine.guishared.BrowserLauncher.ICLaunchURL,0,0,0,0,0,0,0,0,0,2.249166666666667
risk.engine.ai.AIHardCapital.expandBase,0,0,0,0,0,0,0,0,0,0.8160681036409408
risk.tools.translation.RiskComm.setupMissingTranslation,0,0,0,0,0,0,0,0,0,2.77590837965085
risk.engine.core.RiskGame.getMustMove,0,0,0,0,0,0,0,0,0,0.0
risk.ui.SwingGUI.CardPanel.closeDialog,0,0,0,0,0,0,0,0,0,0.0
risk.ui.SwingGUI.PasteAction.actionPerformed,0,0,0,0,0,0,0,0,0,0.0
risk.lobby.server.ServerGameRisk.getInputFromSomeone,0,0,0,0,0,0,0,0,0,2.131665345702405
risk.ui.FlashGUI.BattleDialog.setNODDefender,0,0,0,0,0,0,0,0,0,0.0
risk.engine.guishared.ErdeAnsicht.requestTopDownLeftRightResend,0,0,0,0,0,0,0,0,0,0.0
risk.tools.mapeditor.CardsListModel.edit,0,0,0,0,0,0,0,0,0,2.3959586069695793
risk.lobby.client.GameSetupPanel.setMaps,0,0,0,0,0,0,0,0,0,1.4542961088898128
risk.lobby.client.ClientGameRisk.openDocs,0,0,0,0,0,0,0,0,0,3.0762786259093597
risk.ui.SwingGUI.DebugTab.DebugTab,0,0,0,0,0,0,0,0,0,1.8809048202994818
risk.tools.translation.TableSize.windowGainedFocus,0,0,0,0,0,0,0,0,0,0.0
risk.engine.translation.TranslationBundle.setLanguage,0,0,0,0,0,0,0,0,0,1.2468418469539497
risk.engine.core.Country.setIdString,0,0,0,0,0,0,0,0,0,2.255568690409998
risk.engine.guishared.ErdeAnsicht.setmark,0,0,0,0,0,0,0,0,0,1.3908461404355534
risk.engine.core.Statistic.addCountriesLost,0,0,0,0,0,0,0,0,0,2.621367448830146
risk.engine.core.Continent.setArmyValue,0,0,0,0,0,0,0,0,0,1.9331595196219
risk.ui.SwingGUI.SwingRiskAdapter.startGame,0,0,0,0,0,0,0,0,0,0.0
risk.engine.guishared.RiskFileFilter.getDescription,0,0,0,0,0,0,0,0,0,1.0216859638365046
risk.ui.FlashGUI.BattlePanel.paintComponent,0,0,0,0,0,0,0,0,0,0.6784439868064598
risk.ui.SwingGUI.GameTab.getMenu,0,0,0,0,0,0,0,0,0,1.936833743137892
risk.tools.mapeditor.MapEditorViews.valueChanged,0,0,0,0,0,0,0,0,0,1.5358260190963986
risk.lobby.server.ServerRisk.addPlayerCommandToInbox,0,0,0,0,0,0,0,0,0,0.73
risk.tools.translation.DoublePanel.DoublePanel,0,0,0,0,0,0,0,0,0,3.2601921742164817
risk.engine.guishared.ErdeAnsicht.zylinder,0,0,0,0,0,0,0,0,0,0.9247499999999998
risk.lobby.client.GameSetupPanel.setSelected,0,0,0,0,0,0,0,0,0,2.1770279947969717
risk.lobby.server.ServerRisk.ServerRisk,0,0,0,0,0,0,0,0,0,0.73
risk.ui.FlashGUI.GameFrame.displayMenu,0,0,0,0,0,0,0,0,0,0.9654352326173797
risk.engine.RiskController.showDiceResults,0,0,0,0,0,0,0,0,0,0.304
risk.ui.SwingGUI.attackPanel.attackPanel,0,0,0,0,0,0,0,0,0,2.3555555555555556
