ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability,Lines
org.primordion.xholon.tutorials.StupidModel.XhStupidModel16.act,0,0,0,0,0,0,0,0,0,2.5725,8
org.primordion.ealontro.app.AppAntTrail.setMaxMoves,0,0,0,0,0,0,0,0,0,1.09,1
org.primordion.xholon.tutorials.StupidModel.GridPanelStupidModel15.getShape,0,0,0,0,0,0,0,0,0,2.0,3
org.primordion.xholon.base.TreeNodeFactoryDynamic.getXholonClassNode,1,0,0,0,0,0,0,0,0,0.7196693864441294,12
org.primordion.xholon.base.Patch.inRadius,0,0,0,0,0,0,0,0,0,2.1601259641504873,24
org.primordion.cellontro.app.XhLife.processReceivedMessage,0,0,0,0,1,0,0,0,0,1.1432431915401222,302
org.primordion.cellontro.app.AppLife.shouldBePlotted,0,0,0,0,0,0,0,0,0,1.3627853509900902,6
org.primordion.xholon.app.GridViewerDetails.getMaxXholons,0,0,0,0,0,0,0,0,0,0.6869279369238431,1
org.primordion.memcomp.base.XhAbstractBraneCalc.phago,0,0,0,0,0,0,0,0,0,2.7950000000000004,3
org.primordion.xholon.app.GridViewerDetails.setUseVrml,0,0,0,0,0,0,0,0,0,1.39,1
org.primordion.xholon.app.GridViewerDetails.getClass,0,0,0,0,0,0,0,0,0,1.8375,7
org.primordion.xholon.xmiapps.XhTestFsmHistory.setX,0,0,0,0,0,0,0,0,0,0.0,1
org.primordion.xholon.xmiapps.XhTestFsmHistory.setM,0,0,0,0,0,0,0,0,0,0.0,1
org.primordion.xholon.base.Xholon.getXhcName,0,0,0,0,0,0,0,0,0,1.0719498720288714,5
org.primordion.xholon.samples.XhPingPong.toString,0,0,1,0,0,0,0,0,0,0.6825,11
org.primordion.xholon.xmiappsTc.XhTestFsm.setTestScenario,0,0,0,0,0,0,0,0,0,2.3916616626320684,1
org.primordion.user.app.WolfSheepGrass.XhWolfSheepGrass.setRoleName,0,0,0,0,0,0,0,0,0,2.8449999999999998,1
org.primordion.xholon.base.Port.getIsConjugated,0,0,0,0,0,0,0,0,0,1.794191566950722,1
org.primordion.xholon.xmiappsTc.XhHelloWorldTutorial_multiWorld.toString,0,0,0,0,0,0,0,0,0,0.6819064206579236,13
org.primordion.xholon.base.Attribute_int.decVal,0,0,0,0,0,0,0,0,0,0.685,1
org.primordion.xholon.xmiapps.XhRcs_GP_FSM_Grid.getVal,0,0,0,0,0,0,0,0,0,0.0,1
org.primordion.xholon.base.Patch.toString,0,0,0,0,0,0,0,0,0,0.34125,4
org.primordion.xholon.base.StateMachineEntity.isCompletionEvent,0,0,0,0,0,0,0,0,0,0.7277003829070118,9
org.primordion.xholon.io.XholonGui.startSdServer,0,0,0,0,0,0,1,0,0,1.1847045585883642,11
org.primordion.xholon.xmiapps.XhTestFsm.getABooleanTrue,0,0,0,0,0,0,0,0,0,0.8623930370581847,1
org.primordion.xholon.xmiappsTcSysML.XhHelloWorldTutorialSysML.performGuard,0,0,0,0,0,0,0,0,0,1.2775,3
