ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability
org.primordion.xholon.tutorials.StupidModel.XhStupidModel16.act,0,0,0,0,0,0,0,0,0,2.5725
org.primordion.ealontro.app.AppAntTrail.setMaxMoves,0,0,0,0,0,0,0,0,0,1.09
org.primordion.xholon.tutorials.StupidModel.GridPanelStupidModel15.getShape,0,0,0,0,0,0,0,0,0,2.0
org.primordion.xholon.base.TreeNodeFactoryDynamic.getXholonClassNode,1,0,0,0,0,0,0,0,0,0.7196693864441294
org.primordion.xholon.base.Patch.inRadius,0,0,0,0,0,0,0,0,0,2.1601259641504873
org.primordion.cellontro.app.XhLife.processReceivedMessage,0,0,0,0,1,0,0,0,0,1.1432431915401222
org.primordion.xholon.base.XholonTimerTask.XholonTimerTask,0,0,0,0,0,0,0,0,0,3.3911111111111105
org.primordion.cellontro.app.AppLife.shouldBePlotted,0,0,0,0,0,0,0,0,0,1.3627853509900902
org.primordion.xholon.app.GridViewerDetails.getMaxXholons,0,0,0,0,0,0,0,0,0,0.6869279369238431
org.primordion.memcomp.base.XhAbstractBraneCalc.phago,0,0,0,0,0,0,0,0,0,2.7950000000000004
org.primordion.xholon.app.GridViewerDetails.setUseVrml,0,0,0,0,0,0,0,0,0,1.39
org.primordion.xholon.app.GridViewerDetails.getClass,0,0,0,0,0,0,0,0,0,1.8375
org.primordion.xholon.xmiapps.XhTestFsmHistory.setX,0,0,0,0,0,0,0,0,0,0.0
org.primordion.xholon.xmiapps.XhTestFsmHistory.setM,0,0,0,0,0,0,0,0,0,0.0
org.primordion.xholon.base.Xholon.getXhcName,0,0,0,0,0,0,0,0,0,1.0719498720288714
org.primordion.xholon.samples.XhPingPong.toString,0,0,1,0,0,0,0,0,0,0.6825
org.primordion.xholon.xmiappsTc.XhTestFsm.setTestScenario,0,0,0,0,0,0,0,0,0,2.3916616626320684
org.primordion.user.app.WolfSheepGrass.XhWolfSheepGrass.setRoleName,0,0,0,0,0,0,0,0,0,2.8449999999999998
org.primordion.xholon.base.Port.getIsConjugated,0,0,0,0,0,0,0,0,0,1.794191566950722
org.primordion.xholon.xmiappsTc.XhHelloWorldTutorial_multiWorld.toString,0,0,0,0,0,0,0,0,0,0.6819064206579236
org.primordion.xholon.base.Attribute_int.decVal,0,0,0,0,0,0,0,0,0,0.685
org.primordion.xholon.xmiapps.XhRcs_GP_FSM_Grid.getVal,0,0,0,0,0,0,0,0,0,0.0
org.primordion.xholon.base.Patch.toString,0,0,0,0,0,0,0,0,0,0.34125
org.primordion.xholon.base.StateMachineEntity.isCompletionEvent,0,0,0,0,0,0,0,0,0,0.7277003829070118
org.primordion.xholon.io.XholonGui.startSdServer,0,0,0,0,0,0,1,0,0,1.1847045585883642
