ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability,Lines
net.datacrow.core.backup.Restore.setRestoreDatabase,0,0,0,0,0,0,0,0,0,0.0,1
net.datacrow.console.components.panels.OnlineServiceSettingsPanel.setOverwrite,0,0,0,0,0,0,0,0,0,1.4531097258492598,1
net.datacrow.console.components.tables.DcTable.getModuleForRow,0,0,0,0,0,0,0,0,0,1.8014872836663152,11
net.datacrow.settings.definitions.DcFieldDefinition.getIndex,0,0,0,0,0,0,0,0,0,3.079762057613231,1
net.datacrow.console.windows.settings.SettingsView.getActionPanel,0,0,0,0,0,0,0,0,0,2.7021761905347392,13
net.datacrow.synchronizers.Synchronizer.useOnlineService,0,0,0,0,0,0,0,0,0,0.0,1
net.datacrow.console.windows.expertuser.PerformancePanel.setCurrentValues,0,0,0,0,0,0,0,0,0,2.1905866730077856,3
net.datacrow.console.windows.filerenamer.FileRenamerPreviewDialog.build,0,0,0,0,0,0,0,0,0,2.6613361800455566,40
net.datacrow.console.ComponentFactory.getDisabledColor,0,0,0,0,0,0,0,0,0,2.095654366538192,1
net.datacrow.core.objects.Picture.isDeleted,0,0,0,0,0,0,0,0,0,0.6708355206509831,5
net.datacrow.core.modules.xml.XmlModule.setFileBacked,0,0,0,0,0,0,0,0,0,2.81,1
net.datacrow.core.settings.SettingsGroup.getKey,0,0,0,0,0,0,0,0,0,4.3382644302286115,1
net.datacrow.console.components.panels.tree.ContainerTreePanel.updateView,0,0,0,0,0,0,0,0,0,0.716,14
net.datacrow.core.data.DataFilters.getCurrent,0,0,0,0,0,0,0,0,0,1.7394560375806882,1
net.datacrow.console.components.PicturePane.actionPerformed,0,0,0,0,0,0,0,0,0,1.3651517545138978,35
net.datacrow.util.Star2D.getX,0,0,0,0,0,0,0,0,0,0.0,1
net.datacrow.console.ComponentFactory.getPersonOrderComboBox,0,0,0,0,0,0,0,0,0,0.0,4
net.datacrow.console.windows.BrowserDialog.showCreateFileDialog,0,0,0,0,0,0,0,0,0,1.9744448586711707,9
net.datacrow.synchronizers.Synchronizer.addMessage,0,0,0,0,0,0,0,0,0,1.985,2
net.datacrow.core.web.model.AdvancedFilter.getOperators,0,0,0,0,0,0,0,0,0,0.0,1
net.datacrow.console.components.fstree.FileSystemTreeNode.getChildCount,0,0,0,0,0,0,0,0,0,4.140177226483194,1
net.datacrow.core.modules.xml.XmlModule.getDescription,0,0,0,0,0,0,0,0,0,1.6761783104327401,1
net.datacrow.core.objects.DcObject.setPartOfBatch,0,0,0,0,0,0,0,0,0,0.9655028925792191,1
net.datacrow.console.components.DcFilePatternField.keyReleased,0,0,0,0,0,0,0,0,0,0.0,1
net.datacrow.console.components.renderers.DcListRenderer.repaint,0,0,0,0,0,0,0,0,0,1.25,0
net.datacrow.console.components.fstree.FileSystemTreeNode.getIndex,0,0,0,0,0,0,0,0,0,4.086920384892527,1
net.datacrow.console.ComponentFactory.getHashTypeComboBox,0,0,0,0,0,0,0,0,0,0.0,4
net.datacrow.console.components.lists.DcListUI.convertYToRow,0,0,0,0,0,0,0,0,0,1.3943135579091879,16
net.datacrow.console.components.DcFrame.getHelpIndex,0,0,0,0,0,0,0,0,0,2.333368336574337,1
net.datacrow.console.components.lists.DcList.setSelectionMode,0,0,0,0,0,0,0,0,0,2.4,1
net.datacrow.console.windows.reporting.ReportingDialog.addMessage,0,0,0,0,0,0,0,0,0,3.9922222171697195,4
net.datacrow.console.windows.security.ChangePasswordDialog.actionPerformed,0,0,0,0,0,0,0,0,0,0.0,7
net.datacrow.core.modules.DcModule.getItemForm,0,0,0,0,0,0,0,0,0,2.212210701110694,6
net.datacrow.settings.definitions.DcFieldDefinition.getDisplayValues,0,0,0,0,0,0,0,0,0,1.7080925465589483,2
net.datacrow.console.ComponentFactory.getFileField,0,0,0,0,0,0,0,0,0,1.6914285714285715,2
net.datacrow.core.wf.requests.CreateUserRequest.end,0,0,0,0,0,0,0,0,0,3.0296568163158626,1
net.datacrow.console.windows.drivemanager.DriveManagerPanel.notifyJobStopped,0,0,0,0,0,0,0,0,0,2.810347575600079,3
net.datacrow.util.CSVReader.parseLine,0,0,0,0,0,0,0,0,0,1.275956324722676,33
net.datacrow.console.components.DcComboBoxEditor.selectAll,0,0,0,0,0,0,0,0,0,3.370233199954753,2
net.datacrow.console.views.ViewMouseListener.mousePressed,0,0,0,0,0,0,0,0,0,0.0,0
net.datacrow.core.Platform.isJava15,0,0,0,0,0,0,0,0,0,1.4022602419573598,1
net.datacrow.console.ComponentFactory.getTableHeader,0,0,0,0,0,0,0,0,0,4.14,3
net.datacrow.core.objects.DcValue.getDoubleDigitString,0,0,0,0,0,0,0,0,0,0.81,10
net.datacrow.console.wizards.item.InternetWizardPanel.build,0,0,0,0,0,0,0,0,0,3.263698588401521,8
net.datacrow.drivemanager.DriveManager.sendMessage,0,0,0,0,0,0,0,0,0,0.0,2
net.datacrow.console.windows.enhancers.TitleRewriterDialog.initProgressBar,0,0,0,0,0,0,0,0,0,2.2763942003937907,2
net.datacrow.util.logging.TextPaneAppender.append,0,0,0,0,0,0,0,0,0,1.132711263849453,3
net.datacrow.console.windows.filtering.DefineFilterEntryPanel.mousePressed,0,0,0,0,0,0,0,0,0,0.0,0
net.datacrow.console.wizards.item.InternetWizardPanel.mouseExited,0,0,0,0,0,0,0,0,0,0.0,0
net.datacrow.console.components.DcMultiLineToolTipUI.getHtmlText,0,0,0,0,0,0,0,0,0,1.8123500058648336,15
net.datacrow.console.windows.onlinesearch.OnlineServicePanel.setFocus,0,0,0,0,0,0,0,0,0,1.095191264359566,1
net.datacrow.console.components.renderers.DcListRenderer.getListCellRendererComponent,0,0,0,0,0,0,0,0,0,2.6517446633638326,25
net.datacrow.core.services.SearchTask.setServiceInfo,0,0,0,0,0,0,0,0,0,2.240993147357067,1
net.datacrow.util.freedb.FreedbReadResult.getTrackLengths,0,0,1,0,0,0,0,0,0,1.3382387804029188,10
