ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability
net.datacrow.core.backup.Restore.setRestoreDatabase,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.console.components.panels.OnlineServiceSettingsPanel.setOverwrite,0,0,0,0,0,0,0,0,0,1.4531097258492598
net.datacrow.console.components.tables.DcTable.getModuleForRow,0,0,0,0,0,0,0,0,0,1.8014872836663152
net.datacrow.settings.definitions.DcFieldDefinition.getIndex,0,0,0,0,0,0,0,0,0,3.079762057613231
net.datacrow.console.windows.settings.SettingsView.getActionPanel,0,0,0,0,0,0,0,0,0,2.7021761905347392
net.datacrow.synchronizers.Synchronizer.useOnlineService,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.console.windows.expertuser.PerformancePanel.setCurrentValues,0,0,0,0,0,0,0,0,0,2.1905866730077856
net.datacrow.console.windows.filerenamer.FileRenamerPreviewDialog.build,0,0,0,0,0,0,0,0,0,2.6613361800455566
net.datacrow.console.ComponentFactory.getDisabledColor,0,0,0,0,0,0,0,0,0,2.095654366538192
net.datacrow.console.windows.onlinesearch.OnlineItemRetriever.OnlineItemRetriever,0,0,0,0,0,0,0,0,0,1.42
net.datacrow.core.objects.Picture.isDeleted,0,0,0,0,0,0,0,0,0,0.6708355206509831
net.datacrow.console.components.TypeActionListener.TypeActionListener,0,0,0,0,0,0,0,0,0,3.3
net.datacrow.core.modules.xml.XmlModule.setFileBacked,0,0,0,0,0,0,0,0,0,2.81
net.datacrow.core.settings.SettingsGroup.getKey,0,0,0,0,0,0,0,0,0,4.3382644302286115
net.datacrow.console.components.DcRatingComboBox.DcRatingComboBox,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.console.components.panels.tree.ContainerTreePanel.updateView,0,0,0,0,0,0,0,0,0,0.716
net.datacrow.core.data.DataFilters.getCurrent,0,0,0,0,0,0,0,0,0,1.7394560375806882
net.datacrow.console.components.PicturePane.actionPerformed,0,0,0,0,0,0,0,0,0,1.3651517545138978
net.datacrow.util.Star2D.getX,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.console.ComponentFactory.getPersonOrderComboBox,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.console.windows.BrowserDialog.showCreateFileDialog,0,0,0,0,0,0,0,0,0,1.9744448586711707
net.datacrow.synchronizers.Synchronizer.addMessage,0,0,0,0,0,0,0,0,0,1.985
net.datacrow.console.windows.webserver.WebServerFrame.WebServerFrame,0,0,0,0,0,0,0,0,0,1.4184359702739615
net.datacrow.core.web.model.AdvancedFilter.getOperators,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.console.components.fstree.FileSystemTreeNode.getChildCount,0,0,0,0,0,0,0,0,0,4.140177226483194
net.datacrow.core.modules.xml.XmlModule.getDescription,0,0,0,0,0,0,0,0,0,1.6761783104327401
net.datacrow.core.objects.DcObject.setPartOfBatch,0,0,0,0,0,0,0,0,0,0.9655028925792191
net.datacrow.console.components.DcFilePatternField.keyReleased,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.console.components.renderers.DcListRenderer.repaint,0,0,0,0,0,0,0,0,0,1.25
net.datacrow.console.components.fstree.FileSystemTreeNode.getIndex,0,0,0,0,0,0,0,0,0,4.086920384892527
net.datacrow.console.ComponentFactory.getHashTypeComboBox,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.console.components.DcFileLauncherField.DcFileLauncherField,0,0,0,0,0,0,0,0,0,4.283514911966914
net.datacrow.console.components.lists.DcListUI.convertYToRow,0,0,0,0,0,0,0,0,0,1.3943135579091879
net.datacrow.console.components.DcFrame.getHelpIndex,0,0,0,0,0,0,0,0,0,2.333368336574337
net.datacrow.console.components.lists.DcList.setSelectionMode,0,0,0,0,0,0,0,0,0,2.4
net.datacrow.console.windows.reporting.ReportingDialog.addMessage,0,0,0,0,0,0,0,0,0,3.9922222171697195
net.datacrow.console.windows.settings.CardViewPictureSettingsPanel.CardViewPictureSettingsPanel,0,0,0,0,0,0,0,0,0,3.93
net.datacrow.console.windows.drivemanager.DriveManagerPanel.DriveManagerPanel,0,0,0,0,0,0,0,0,0,3.25
