ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability,Lines
net.sf.freecol.server.ai.WorkerWish.update,0,0,0,0,0,0,0,0,0,2.1933333333333334,3
net.sf.freecol.server.ai.mission.TransportMission.readFromXMLImpl,0,0,0,0,0,0,0,0,0,1.5740518272233162,21
net.sf.freecol.client.gui.action.AssignTradeRouteAction.getId,0,0,0,0,0,0,0,0,0,2.1599250268403996,1
net.sf.freecol.common.model.Unit.setTreasureAmount,0,0,0,0,0,0,0,0,0,1.491891268211843,5
net.sf.freecol.client.gui.Canvas.showEventDialog,0,0,0,0,0,0,0,0,0,2.5203327238351028,5
net.sf.freecol.client.gui.panel.FreeColDragHandler.dragDropEnd,0,0,0,0,0,0,0,0,0,0.0,6
net.sf.freecol.server.control.InGameController.checkForWinner,0,0,0,0,0,0,0,0,0,1.6439063749465614,38
net.sf.freecol.client.control.InGameController.sendChat,0,0,0,0,0,0,0,0,0,2.99588079467996,3
net.sf.freecol.common.model.GoodsContainer.getFullGoods,0,0,0,0,0,0,0,0,0,1.9747615130441778,4
net.sf.freecol.common.model.Position.getY,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.freecol.server.control.InGameInputHandler.giveIndependence,0,0,0,0,0,0,0,0,0,3.1193333333333335,7
net.sf.freecol.client.control.SwingTask.markStarted,0,0,0,0,0,0,0,0,0,0.0,2
net.sf.freecol.server.ai.AIColony.readFromXMLImpl,0,0,0,0,0,0,0,0,0,1.0434142859829116,43
net.sf.freecol.common.model.UnitContainer.toXMLImpl,0,0,0,0,0,0,0,0,0,2.41182242723621,6
net.sf.freecol.common.model.Unit.doAssignedWork,0,0,0,0,0,0,0,0,0,1.283982657638951,68
net.sf.freecol.client.gui.Canvas.resetFreeColMenuBar,0,0,0,0,0,0,0,0,0,1.6380411253211824,3
net.sf.freecol.client.gui.Canvas.showMapGeneratorOptionsDialog,0,0,0,0,0,0,0,0,0,0.48811140291157595,1
net.sf.freecol.server.ai.mission.UnitSeekAndDestroyMission.getTransportDestination,0,0,0,0,0,0,0,0,0,2.2511094476054905,22
net.sf.freecol.common.model.Unit.getUnitContainer,0,0,0,0,0,0,0,0,0,2.271598856110617,1
net.sf.freecol.client.gui.panel.ASingleBuildingPanel.updateProductionLabel,0,0,0,0,0,0,0,0,0,3.07609058934178,5
net.sf.freecol.server.control.InGameInputHandler.buildColony,0,0,0,0,0,0,0,0,0,2.6363294656313214,20
net.sf.freecol.server.model.ServerPlayer.toString,0,0,0,0,0,0,0,0,0,2.124767150077532,1
net.sf.freecol.client.gui.panel.MapGeneratorOptionsDialog.actionPerformed,0,0,2,0,0,0,0,0,0,1.6438664314878608,6
net.sf.freecol.common.model.FoundingFather.getWeight3,0,0,0,0,0,0,0,0,0,0.4126635620322512,27
net.sf.freecol.common.model.GoodsTradeItem.isValid,0,0,0,0,0,0,0,0,0,3.1122251989249996,11
net.sf.freecol.client.gui.action.MiniMapZoomOutAction.actionPerformed,0,0,0,0,0,0,0,0,0,0.0,3
net.sf.freecol.server.control.PreGameInputHandler.color,0,0,0,0,0,0,0,0,0,3.5815370886740348,9
net.sf.freecol.metaserver.NetworkHandler.remove,0,0,0,0,0,0,0,0,0,3.259667147382146,2
net.sf.freecol.common.model.Player.canRecruitUnits,0,0,0,0,0,0,0,0,0,1.025774245448816,1
net.sf.freecol.common.model.Tension.getCodeString,0,0,0,0,0,0,0,0,0,1.7154433102294342,14
net.sf.freecol.client.control.InGameController.rename,0,0,0,0,0,0,0,0,0,2.8927619641004716,15
net.sf.freecol.common.model.PathNode.getTransportDropTurns,0,0,0,0,0,0,0,0,0,2.92,4
net.sf.freecol.client.gui.action.ReportColonyAction.actionPerformed,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.freecol.client.gui.plaf.FreeColTextAreaUI.paintBackground,0,0,0,0,0,0,0,0,0,1.5325396770105197,12
net.sf.freecol.client.gui.panel.ImageSelection.isDataFlavorSupported,0,0,0,0,0,0,0,0,0,3.55,1
net.sf.freecol.server.generator.MapGeneratorTest.testWithNoIndians,0,0,0,0,0,0,0,0,0,0.0,10
net.sf.freecol.server.ai.AIPlayer.giveNormalMissions,0,0,0,0,0,0,0,0,0,1.3910164020638334,112
net.sf.freecol.common.model.ColonyProductionTest.getStandardGame,0,0,0,0,0,0,0,0,0,1.125,5
net.sf.freecol.client.control.InGameController.moveToAmerica,0,0,0,0,0,0,0,0,0,2.332583376539192,22
net.sf.freecol.client.gui.panel.ReportRequirementsPanel.defineStyles,0,0,0,0,0,0,0,0,0,2.47375,4
net.sf.freecol.util.test.FreeColTestCase.getGame,0,0,0,0,0,0,0,0,0,3.942110337894268,4
net.sf.freecol.common.model.TradeItem.setDestination,0,0,0,0,0,0,0,0,0,3.315,1
net.sf.freecol.common.networking.Message.getAttribute,0,0,0,0,0,0,0,0,0,3.900319792022473,1
net.sf.freecol.client.gui.action.ReportTradeAction.getId,0,0,0,0,0,0,0,0,0,2.076436126123584,1
net.sf.freecol.common.model.IndianSettlement.getMissionary,0,0,0,0,0,0,0,0,0,2.3123917818853914,1
net.sf.freecol.common.option.Language.setLocale,0,0,0,0,0,0,0,0,0,2.885,1
net.sf.freecol.common.model.PlayerExploredTile.getSkill,0,0,0,0,0,0,0,0,0,1.6082659517844455,1
net.sf.freecol.client.gui.panel.ColopediaPanel.buildFathersSubtree,0,0,0,0,0,0,0,0,0,2.28,3
net.sf.freecol.client.gui.panel.WarehousePanel.initialize,0,0,0,0,0,0,0,0,0,3.5692711878420216,9
net.sf.freecol.server.FreeColServer.removeFromMetaServer,0,0,0,0,0,0,0,0,0,2.34586584112318,16
net.sf.freecol.client.gui.panel.FreeColDragHandler.dragExit,0,0,0,0,0,0,0,0,0,0.0,0
net.sf.freecol.client.gui.action.NewEmptyMapAction.getId,0,0,0,0,0,0,0,0,0,2.03978135389085,1
net.sf.freecol.client.gui.action.ZoomOutAction.shouldBeEnabled,0,0,0,0,0,0,0,0,0,3.8850000000000002,6
net.sf.freecol.common.model.Colony.getHighLevel,0,0,0,1,0,0,0,0,0,2.212500233601882,1
net.sf.freecol.client.gui.i18n.MergeTableModel.rightLineAtRow,0,0,0,0,0,0,0,0,0,3.273163951003626,1
net.sf.freecol.client.control.InGameInputHandler.deliverGift,0,0,0,0,0,0,0,0,0,3.686,3
net.sf.freecol.server.ai.TileImprovement.getValue,0,0,0,0,0,0,0,0,0,1.1961231137222672,1
net.sf.freecol.client.control.InGameController.changeState,0,0,0,0,0,0,0,0,0,2.869344861451907,37
net.sf.freecol.client.gui.Canvas.refresh,0,0,0,0,0,0,0,0,0,0.0,2
net.sf.freecol.common.model.Colony.addHammersAndTools,0,0,0,0,0,0,0,0,0,3.5284122933851814,5
net.sf.freecol.server.ai.Wish.setTransportable,0,0,0,0,0,0,0,0,0,3.03,1
net.sf.freecol.client.gui.panel.MiniMap.paintComponent,0,0,0,0,0,0,0,0,0,2.396874821710933,29
net.sf.freecol.client.FreeColClient.getMapEditorController,0,0,0,0,0,0,0,0,0,2.9155454155868674,1
net.sf.freecol.common.model.Unit.getMoveType,0,0,0,0,0,0,0,0,0,2.4881554704296662,4
net.sf.freecol.common.model.Colony.getWorkLocationIterator,0,0,0,0,0,0,0,0,0,1.081293282585474,1
net.sf.freecol.client.gui.panel.ReportUnitPanel.createREFPanel,0,0,0,0,0,0,0,0,0,2.7786234156209715,16
net.sf.freecol.common.model.Colony.getUnitList,0,0,0,0,0,0,0,0,0,1.0807016530144167,6
net.sf.freecol.common.option.LanguageOption.setValue,0,0,0,0,0,0,0,0,0,1.8954953748340173,4
net.sf.freecol.common.model.UnitTradeItem.setUnit,0,0,0,0,0,0,0,0,0,3.29,1
net.sf.freecol.common.model.Market.buy,0,0,0,0,0,0,0,0,0,3.063047637314081,11
net.sf.freecol.common.ServerInfo.getPort,0,0,0,0,0,0,0,0,0,3.2726089360735844,1
net.sf.freecol.client.gui.action.UnloadAction.unloadAllUnits,0,0,0,0,0,0,0,0,0,2.981666666666667,3
net.sf.freecol.client.gui.plaf.SelectedComponent.paintComponent,0,0,0,0,0,0,0,0,0,1.60125,6
net.sf.freecol.common.model.Unit.getLastUnit,0,0,0,0,0,0,0,0,0,2.2805660352874635,1
net.sf.freecol.client.gui.option.BooleanOptionUI.propertyChange,0,0,0,0,0,0,0,0,0,3.200284529118154,3
net.sf.freecol.common.model.Player.setColor,0,0,1,0,0,0,0,0,0,2.4962292386834193,1
net.sf.freecol.client.ClientPseudoRandom.push,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.freecol.client.gui.FreeColMenuTest.itemStateChanged,0,0,0,0,0,0,0,0,0,0.9794370388548941,2
net.sf.freecol.client.gui.action.ShowMainAction.getId,0,0,0,0,0,0,0,0,0,2.076436126123584,1
net.sf.freecol.common.model.IndianSettlement.setLearnableSkill,0,0,0,0,0,0,0,0,0,1.6882604452433096,1
net.sf.freecol.client.WorkerCheck.main,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.freecol.client.gui.action.SelectableAction.isSelected,0,0,0,0,0,0,0,0,0,2.1047325186994414,1
net.sf.freecol.server.control.InGameInputHandler.emigrateUnitInEurope,0,0,1,0,0,0,0,0,0,2.418760925722839,12
net.sf.freecol.common.model.Unit.captureGoods,0,0,0,0,0,0,0,0,0,1.0999999999999999,6
net.sf.freecol.common.model.TradeItem.getGame,0,0,0,0,0,0,0,0,0,3.473417705424327,1
