ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability
net.sf.freecol.server.ai.WorkerWish.update,0,0,0,0,0,0,0,0,0,2.1933333333333334
net.sf.freecol.server.ai.mission.TransportMission.readFromXMLImpl,0,0,0,0,0,0,0,0,0,1.5740518272233162
net.sf.freecol.client.gui.action.AssignTradeRouteAction.getId,0,0,0,0,0,0,0,0,0,2.1599250268403996
net.sf.freecol.common.model.Unit.setTreasureAmount,0,0,0,0,0,0,0,0,0,1.491891268211843
net.sf.freecol.client.gui.Canvas.showEventDialog,0,0,0,0,0,0,0,0,0,2.5203327238351028
net.sf.freecol.client.gui.panel.FreeColDragHandler.dragDropEnd,0,0,0,0,0,0,0,0,0,0.0
net.sf.freecol.server.control.InGameController.checkForWinner,0,0,0,0,0,0,0,0,0,1.6439063749465614
net.sf.freecol.client.control.InGameController.sendChat,0,0,0,0,0,0,0,0,0,2.99588079467996
net.sf.freecol.common.model.GoodsContainer.getFullGoods,0,0,0,0,0,0,0,0,0,1.9747615130441778
net.sf.freecol.common.model.Position.getY,0,0,0,0,0,0,0,0,0,0.0
net.sf.freecol.server.control.InGameInputHandler.giveIndependence,0,0,0,0,0,0,0,0,0,3.1193333333333335
net.sf.freecol.client.control.SwingTask.markStarted,0,0,0,0,0,0,0,0,0,0.0
net.sf.freecol.server.ai.AIColony.readFromXMLImpl,0,0,0,0,0,0,0,0,0,1.0434142859829116
net.sf.freecol.common.model.UnitContainer.toXMLImpl,0,0,0,0,0,0,0,0,0,2.41182242723621
net.sf.freecol.common.option.OptionMap.OptionMap,0,0,0,0,0,0,0,0,0,2.2885722888794358
net.sf.freecol.common.model.Unit.doAssignedWork,0,0,0,0,0,0,0,0,0,1.283982657638951
net.sf.freecol.client.control.InputHandler.handle,0,0,0,0,0,0,0,0,0,3.315
net.sf.freecol.client.gui.Canvas.resetFreeColMenuBar,0,0,0,0,0,0,0,0,0,1.6380411253211824
net.sf.freecol.client.gui.Canvas.showMapGeneratorOptionsDialog,0,0,0,0,0,0,0,0,0,0.48811140291157595
net.sf.freecol.client.gui.panel.FileListEntry.FileListEntry,0,0,0,0,0,0,0,0,0,4.41
net.sf.freecol.common.networking.NetworkReplyObject.NetworkReplyObject,0,0,0,0,0,0,0,0,0,1.425
net.sf.freecol.server.ai.mission.UnitSeekAndDestroyMission.getTransportDestination,0,0,0,0,0,0,0,0,0,2.2511094476054905
net.sf.freecol.common.model.Unit.getUnitContainer,0,0,0,0,0,0,0,0,0,2.271598856110617
net.sf.freecol.client.gui.panel.ASingleBuildingPanel.updateProductionLabel,0,0,0,0,0,0,0,0,0,3.07609058934178
net.sf.freecol.server.control.InGameInputHandler.buildColony,0,0,0,0,0,0,0,0,0,2.6363294656313214
net.sf.freecol.server.model.ServerPlayer.toString,0,0,0,0,0,0,0,0,0,2.124767150077532
net.sf.freecol.client.gui.panel.MapGeneratorOptionsDialog.actionPerformed,0,0,2,0,0,0,0,0,0,1.6438664314878608
net.sf.freecol.common.model.FoundingFather.getWeight3,0,0,0,0,0,0,0,0,0,0.4126635620322512
net.sf.freecol.common.model.GoodsTradeItem.isValid,0,0,0,0,0,0,0,0,0,3.1122251989249996
net.sf.freecol.client.gui.action.MiniMapZoomOutAction.actionPerformed,0,0,0,0,0,0,0,0,0,0.0
net.sf.freecol.server.control.PreGameInputHandler.color,0,0,0,0,0,0,0,0,0,3.5815370886740348
net.sf.freecol.metaserver.NetworkHandler.remove,0,0,0,0,0,0,0,0,0,3.259667147382146
net.sf.freecol.common.model.Player.canRecruitUnits,0,0,0,0,0,0,0,0,0,1.025774245448816
net.sf.freecol.common.model.Tension.getCodeString,0,0,0,0,0,0,0,0,0,1.7154433102294342
net.sf.freecol.client.control.InGameController.rename,0,0,0,0,0,0,0,0,0,2.8927619641004716
net.sf.freecol.common.model.PathNode.getTransportDropTurns,0,0,0,0,0,0,0,0,0,2.92
net.sf.freecol.client.gui.action.ReportColonyAction.actionPerformed,0,0,0,0,0,0,0,0,0,0.0
net.sf.freecol.client.gui.plaf.FreeColTextAreaUI.paintBackground,0,0,0,0,0,0,0,0,0,1.5325396770105197
net.sf.freecol.client.gui.panel.ImageSelection.isDataFlavorSupported,0,0,0,0,0,0,0,0,0,3.55
net.sf.freecol.common.model.GameOptions.GameOptions,0,0,0,0,0,0,0,0,0,1.5
net.sf.freecol.server.generator.MapGeneratorTest.testWithNoIndians,0,0,0,0,0,0,0,0,0,0.0
net.sf.freecol.server.ai.AIPlayer.giveNormalMissions,0,0,0,0,0,0,0,0,0,1.3910164020638334
net.sf.freecol.common.model.ColonyProductionTest.getStandardGame,0,0,0,0,0,0,0,0,0,1.125
net.sf.freecol.client.control.InGameController.moveToAmerica,0,0,0,0,0,0,0,0,0,2.332583376539192
net.sf.freecol.client.gui.panel.ReportRequirementsPanel.defineStyles,0,0,0,0,0,0,0,0,0,2.47375
net.sf.freecol.util.test.FreeColTestCase.getGame,0,0,0,0,0,0,0,0,0,3.942110337894268
net.sf.freecol.common.model.TradeItem.setDestination,0,0,0,0,0,0,0,0,0,3.315
net.sf.freecol.common.networking.Message.getAttribute,0,0,0,0,0,0,0,0,0,3.900319792022473
net.sf.freecol.client.gui.action.ReportTradeAction.getId,0,0,0,0,0,0,0,0,0,2.076436126123584
net.sf.freecol.common.model.IndianSettlement.getMissionary,0,0,0,0,0,0,0,0,0,2.3123917818853914
net.sf.freecol.common.option.Language.setLocale,0,0,0,0,0,0,0,0,0,2.885
net.sf.freecol.common.model.PlayerExploredTile.getSkill,0,0,0,0,0,0,0,0,0,1.6082659517844455
net.sf.freecol.client.gui.panel.ColopediaPanel.buildFathersSubtree,0,0,0,0,0,0,0,0,0,2.28
net.sf.freecol.client.gui.option.BooleanOptionUI.BooleanOptionUI,0,0,0,0,0,0,0,0,0,2.4883200501360117
net.sf.freecol.client.gui.panel.FreeColDialog.createLoadDialog,0,0,0,0,0,0,0,0,0,2.42
net.sf.freecol.client.gui.panel.WarehousePanel.initialize,0,0,0,0,0,0,0,0,0,3.5692711878420216
net.sf.freecol.server.FreeColServer.removeFromMetaServer,0,0,0,0,0,0,0,0,0,2.34586584112318
net.sf.freecol.client.gui.panel.FreeColDragHandler.dragExit,0,0,0,0,0,0,0,0,0,0.0
net.sf.freecol.common.model.Settlement.add,0,0,0,0,0,0,0,0,0,0.0
net.sf.freecol.client.gui.action.NewEmptyMapAction.getId,0,0,0,0,0,0,0,0,0,2.03978135389085
net.sf.freecol.client.gui.action.ZoomOutAction.shouldBeEnabled,0,0,0,0,0,0,0,0,0,3.8850000000000002
net.sf.freecol.common.model.Colony.getHighLevel,0,0,0,1,0,0,0,0,0,2.212500233601882
net.sf.freecol.client.gui.i18n.MergeTableModel.rightLineAtRow,0,0,0,0,0,0,0,0,0,3.273163951003626
net.sf.freecol.client.control.InGameInputHandler.deliverGift,0,0,0,0,0,0,0,0,0,3.686
net.sf.freecol.server.ai.TileImprovement.getValue,0,0,0,0,0,0,0,0,0,1.1961231137222672
net.sf.freecol.client.control.InGameController.changeState,0,0,0,0,0,0,0,0,0,2.869344861451907
net.sf.freecol.client.gui.Canvas.refresh,0,0,0,0,0,0,0,0,0,0.0
net.sf.freecol.common.model.Colony.addHammersAndTools,0,0,0,0,0,0,0,0,0,3.5284122933851814
net.sf.freecol.server.ai.Wish.setTransportable,0,0,0,0,0,0,0,0,0,3.03
net.sf.freecol.server.ai.mission.Mission.findTarget,0,0,0,0,0,0,0,0,0,1.3975
net.sf.freecol.client.gui.action.InnerMenuKeyListener.InnerMenuKeyListener,0,0,0,0,0,0,0,0,0,0.0
net.sf.freecol.client.gui.panel.MiniMap.paintComponent,0,0,0,0,0,0,0,0,0,2.396874821710933
net.sf.freecol.client.FreeColClient.getMapEditorController,0,0,0,0,0,0,0,0,0,2.9155454155868674
net.sf.freecol.common.model.Unit.getMoveType,0,0,0,0,0,0,0,0,0,2.4881554704296662
net.sf.freecol.client.gui.panel.ColonyTradeItemPanel.ColonyTradeItemPanel,0,0,0,0,0,0,0,0,0,3.748486829258117
net.sf.freecol.common.model.Colony.getWorkLocationIterator,0,0,0,0,0,0,0,0,0,1.081293282585474
net.sf.freecol.client.gui.panel.ReportUnitPanel.createREFPanel,0,0,0,0,0,0,0,0,0,2.7786234156209715
net.sf.freecol.common.model.Colony.getUnitList,0,0,0,0,0,0,0,0,0,1.0807016530144167
net.sf.freecol.common.option.LanguageOption.setValue,0,0,0,0,0,0,0,0,0,1.8954953748340173
net.sf.freecol.client.gui.action.NewEmptyMapAction.showMapSizeDialog,0,0,0,0,0,0,0,0,0,3.0660216589106457
net.sf.freecol.common.model.UnitTradeItem.setUnit,0,0,0,0,0,0,0,0,0,3.29
net.sf.freecol.common.model.Market.buy,0,0,0,0,0,0,0,0,0,3.063047637314081
net.sf.freecol.common.ServerInfo.getPort,0,0,0,0,0,0,0,0,0,3.2726089360735844
net.sf.freecol.client.gui.action.UnloadAction.unloadAllUnits,0,0,0,0,0,0,0,0,0,2.981666666666667
net.sf.freecol.client.gui.plaf.SelectedComponent.paintComponent,0,0,0,0,0,0,0,0,0,1.60125
net.sf.freecol.common.model.Unit.getLastUnit,0,0,0,0,0,0,0,0,0,2.2805660352874635
net.sf.freecol.client.gui.option.BooleanOptionUI.propertyChange,0,0,0,0,0,0,0,0,0,3.200284529118154
net.sf.freecol.common.model.Player.setColor,0,0,1,0,0,0,0,0,0,2.4962292386834193
net.sf.freecol.client.ClientPseudoRandom.push,0,0,0,0,0,0,0,0,0,0.0
net.sf.freecol.client.gui.FreeColMenuTest.itemStateChanged,0,0,0,0,0,0,0,0,0,0.9794370388548941
net.sf.freecol.client.gui.action.ShowMainAction.getId,0,0,0,0,0,0,0,0,0,2.076436126123584
net.sf.freecol.common.model.IndianSettlement.setLearnableSkill,0,0,0,0,0,0,0,0,0,1.6882604452433096
net.sf.freecol.client.WorkerCheck.main,0,0,0,0,0,0,0,0,0,0.0
net.sf.freecol.client.gui.action.SelectableAction.isSelected,0,0,0,0,0,0,0,0,0,2.1047325186994414
net.sf.freecol.client.gui.panel.ImageProvider.getUnitImageIcon,0,0,0,0,0,0,0,0,0,2.1999999999999997
net.sf.freecol.server.control.InGameInputHandler.emigrateUnitInEurope,0,0,1,0,0,0,0,0,0,2.418760925722839
net.sf.freecol.common.model.Unit.captureGoods,0,0,0,0,0,0,0,0,0,1.0999999999999999
net.sf.freecol.common.model.Goods.Goods,0,0,0,0,0,0,0,0,0,3.0878489755542797
net.sf.freecol.common.model.TradeItem.getGame,0,0,0,0,0,0,0,0,0,3.473417705424327
net.sf.freecol.common.model.Game.getNextID,0,0,0,0,0,0,0,0,0,2.3015414585352536
net.sf.freecol.common.model.Stop.getCargo,0,0,0,0,0,0,0,0,0,3.5724830718570133
net.sf.freecol.metaserver.MetaServer.shutdown,0,0,0,0,0,0,0,0,0,1.5722386744411023
net.sf.freecol.client.gui.TilePopup.addUnit,0,0,0,0,0,0,0,0,0,2.9088175870718973
net.sf.freecol.client.gui.action.FreeColAction.update,0,0,0,0,0,0,0,0,0,0.0
net.sf.freecol.server.control.InGameInputHandler.deliverGift,0,0,0,0,0,0,0,0,0,3.4323523505918643
net.sf.freecol.common.option.AbstractOption.getGroup,0,0,0,0,0,0,0,0,0,3.0308936115511473
net.sf.freecol.client.gui.action.FreeColAction.getKeyStrokeText,0,0,0,0,0,0,0,0,0,4.494999999999999
net.sf.freecol.common.networking.Connection.handleAndSendReply,0,0,0,0,0,0,0,0,0,1.513237535153318
net.sf.freecol.common.model.Player.getStance,0,0,0,0,0,0,0,0,0,2.844171402865372
net.sf.freecol.common.networking.Connection.releaseQuestionId,0,0,0,0,0,0,0,0,0,2.269289131139584
net.sf.freecol.server.ai.mission.DefendSettlementMission.getDebuggingInfo,0,0,0,0,0,0,0,0,0,2.7619713443696234
net.sf.freecol.client.gui.TilePopup.addGoods,0,0,0,0,0,0,0,0,0,3.024170031212823
net.sf.freecol.server.ai.AIUnit.doMission,0,0,0,0,0,0,0,0,0,3.0
net.sf.freecol.client.FreeColClient.getModelController,0,0,0,0,0,0,0,0,0,2.690481242837938
net.sf.freecol.client.control.ClientModelController.setStance,0,0,0,0,0,0,0,0,0,3.3666666666666667
net.sf.freecol.common.model.Player.reinitialiseMarket,0,0,0,0,0,0,0,0,0,3.0704431492305946
net.sf.freecol.common.model.Market.getBidPrice,0,0,0,0,0,0,0,0,0,2.9084620030221666
net.sf.freecol.client.control.InGameController.setCurrentlyBuilding,0,0,0,0,0,0,0,0,0,3.0431592557953953
net.sf.freecol.client.gui.action.ExecuteGotoOrdersAction.ExecuteGotoOrdersAction,0,0,0,0,0,0,0,0,0,1.9799999999999998
net.sf.freecol.client.gui.panel.DefaultTransferHandler.getSourceActions,0,0,0,0,0,0,0,0,0,0.0
net.sf.freecol.client.gui.sound.Playlist.setRepeatMode,0,0,0,0,0,0,0,0,0,2.6799999999999997
net.sf.freecol.common.model.Tile.getTotalUnitCount,0,0,0,0,0,0,0,0,0,2.6400965321006193
net.sf.freecol.server.ai.AIPlayer.AIPlayer,0,0,0,0,0,0,0,0,0,2.8472123850266216
net.sf.freecol.common.option.SelectOption.getStringValue,0,0,0,0,0,0,0,0,0,1.1848019899391717
net.sf.freecol.client.gui.panel.ColonyPanel.ColonyPanel,0,0,0,0,0,0,0,0,0,3.0237373078149976
net.sf.freecol.client.gui.panel.ColonyTradeItemPanel.updateColonyBox,0,0,0,0,0,0,0,0,0,1.7733993195806423
