ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability,Lines
org.jdesktop.swingx.plaf.windows.WindowsHyperlinkUI.createUI,0,0,0,0,0,0,0,0,0,0.0,1
net.sourceforge.ganttproject.GanttTreeCellRenderer.dropActionChanged,0,0,0,0,0,0,0,0,0,0.0,0
net.sourceforge.ganttproject.OSXAdapter.handleAbout,0,0,0,0,0,0,0,0,0,1.2356012769816127,2
org.jdesktop.swingx.JXImageView.removeErrorListener,0,0,0,0,0,0,0,0,0,0.9443486921517725,1
net.sourceforge.ganttproject.task.TaskImpl.getNestedTasks,0,0,0,0,0,0,0,0,0,1.202759441806059,4
org.jdesktop.swingx.decorator.DefaultSelectionMapper.clearModelSelection,0,0,0,0,0,0,0,0,0,2.4692121654333756,5
org.jdesktop.swingx.autocomplete.AutoCompleteDecorator.removeKeyListener,0,0,0,0,0,0,0,0,0,0.0,5
net.sourceforge.ganttproject.gui.ProjectUIFacadeImpl.saveProjectRemotely,0,0,0,0,0,0,0,0,0,4.015000000000001,4
org.jdesktop.swingx.treetable.DefaultMutableTreeTableNode.isNodeDescendant,0,0,0,0,0,0,0,0,0,3.58,5
org.jdesktop.swingx.painter.effects.NeonBorderEffect.setBorderPosition,0,0,0,0,0,0,0,0,0,3.455,12
net.sourceforge.ganttproject.task.FacadeImpl.move,0,0,0,0,0,0,0,0,0,3.403,1
org.jdesktop.swingx.InputHandler.mouseExited,0,0,0,0,0,0,0,0,0,0.0,1
net.sourceforge.ganttproject.task.TaskMap.fireDependencyAdded,0,0,0,0,0,0,0,0,0,0.986,1
org.jdesktop.swingx.image.GaussianBlurFilter.blur,0,0,0,0,0,0,0,0,0,1.3811544640796911,20
net.sourceforge.ganttproject.task.ResourceAssignmentMutatorImpl.addAssignment,0,0,0,0,0,0,0,0,0,2.6799999999999997,2
net.sourceforge.ganttproject.plugins.PluginManager.getExtensions,0,0,0,0,0,0,0,0,0,1.9675931490223393,1
net.sourceforge.ganttproject.MoveIntention.createMoveIntention,0,0,0,0,0,0,0,0,0,2.045,4
net.sourceforge.ganttproject.gui.GPlainDocument.insertString,0,0,0,0,0,0,0,0,0,0.19511391348024065,10
net.sourceforge.ganttproject.gui.taskproperties.CommonPanel.durationChanged,0,0,0,0,0,0,0,0,0,2.5374048072459585,1
net.sourceforge.ganttproject.export.ConsoleUIFacade.getGanttChart,0,0,0,0,0,0,0,0,0,2.1102479914194365,1
org.jdesktop.swingx.border.DropShadowBorder.getShadowSize,0,0,0,0,0,0,0,0,0,2.461162522853513,1
org.jdesktop.swingx.plaf.basic.BasicThumbRenderer.getThumbRendererComponent,0,0,0,0,0,0,0,0,0,3.2633333333333336,1
org.jdesktop.swingx.table.ColumnHeaderRenderer.getIconTextGap,0,0,0,0,0,0,0,0,0,2.9673918353183977,1
net.sourceforge.ganttproject.language.Event.getBusinessHoursEnd,0,0,0,0,0,0,0,0,0,1.1749078240366144,1
org.jdesktop.swingx.TreeTableModelAdapter.updateAfterExpansionEvent,0,0,0,0,0,0,0,0,0,2.69,1
net.sourceforge.ganttproject.task.TaskLengthImpl.getTimeUnit,0,0,0,0,0,0,0,0,0,2.664222415560789,1
net.sourceforge.ganttproject.calendar.WeekendCalendarImpl.getIntervalManager,0,0,0,0,0,0,0,0,0,2.0389577179267095,1
org.jdesktop.swingx.error.ErrorInfo.getBasicErrorMessage,0,0,0,0,0,0,0,0,0,2.1002362473513547,1
net.sourceforge.ganttproject.gui.projectwizard.RoleSetPage.mouseClicked,0,0,0,0,0,0,0,0,0,2.4113334903885755,1
org.jdesktop.swingx.PatternModel.getFoundIndex,0,0,0,0,0,0,0,0,0,2.6931282761440962,1
org.jdesktop.swingx.JXHyperlink.getOverrulesActionOnClick,0,0,0,0,0,0,0,0,0,1.8104487843062982,1
org.jdesktop.swingx.treetable.DefaultTreeTableModel.getPathToRoot,0,0,0,0,0,0,0,0,0,3.6870491349449193,8
net.sourceforge.ganttproject.calendar.TimeUnitRangeOptions.loadPersistentValue,0,0,0,0,0,0,0,0,0,2.085,3
org.jdesktop.swingx.util.UIManagerUtils.htmlize,0,0,0,0,0,0,0,0,0,2.34634467297499,14
net.sourceforge.ganttproject.gui.I18N.getColorChooserTitle,0,0,0,0,0,0,0,0,0,3.2350000000000003,1
