ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability
org.jdesktop.swingx.plaf.windows.WindowsHyperlinkUI.createUI,0,0,0,0,0,0,0,0,0,0.0
net.sourceforge.ganttproject.GanttTreeCellRenderer.dropActionChanged,0,0,0,0,0,0,0,0,0,0.0
net.sourceforge.ganttproject.OSXAdapter.handleAbout,0,0,0,0,0,0,0,0,0,1.2356012769816127
org.jdesktop.swingx.JXImageView.removeErrorListener,0,0,0,0,0,0,0,0,0,0.9443486921517725
net.sourceforge.ganttproject.task.TaskImpl.getNestedTasks,0,0,0,0,0,0,0,0,0,1.202759441806059
org.jdesktop.swingx.decorator.DefaultSelectionMapper.clearModelSelection,0,0,0,0,0,0,0,0,0,2.4692121654333756
org.jdesktop.swingx.autocomplete.AutoCompleteDecorator.removeKeyListener,0,0,0,0,0,0,0,0,0,0.0
net.sourceforge.ganttproject.gui.ProjectUIFacadeImpl.saveProjectRemotely,0,0,0,0,0,0,0,0,0,4.015000000000001
org.jdesktop.swingx.treetable.DefaultMutableTreeTableNode.isNodeDescendant,0,0,0,0,0,0,0,0,0,3.58
org.jdesktop.swingx.painter.CapsulePainter.CapsulePainter,0,0,0,0,0,0,0,0,0,3.78
org.jdesktop.swingx.painter.effects.NeonBorderEffect.setBorderPosition,0,0,0,0,0,0,0,0,0,3.455
net.sourceforge.ganttproject.task.FacadeImpl.move,0,0,0,0,0,0,0,0,0,3.403
org.jdesktop.swingx.InputHandler.mouseExited,0,0,0,0,0,0,0,0,0,0.0
net.sourceforge.ganttproject.task.TaskMap.fireDependencyAdded,0,0,0,0,0,0,0,0,0,0.986
org.jdesktop.swingx.image.GaussianBlurFilter.blur,0,0,0,0,0,0,0,0,0,1.3811544640796911
net.sourceforge.ganttproject.task.ResourceAssignmentMutatorImpl.addAssignment,0,0,0,0,0,0,0,0,0,2.6799999999999997
net.sourceforge.ganttproject.plugins.PluginManager.getExtensions,0,0,0,0,0,0,0,0,0,1.9675931490223393
net.sourceforge.ganttproject.MoveIntention.createMoveIntention,0,0,0,0,0,0,0,0,0,2.045
net.sourceforge.ganttproject.gui.GPlainDocument.insertString,0,0,0,0,0,0,0,0,0,0.19511391348024065
net.sourceforge.ganttproject.gui.options.model.ValidationException.ValidationException,0,0,0,0,0,0,0,0,0,3.2
net.sourceforge.ganttproject.gui.taskproperties.CommonPanel.durationChanged,0,0,0,0,0,0,0,0,0,2.5374048072459585
net.sourceforge.ganttproject.export.ConsoleUIFacade.getGanttChart,0,0,0,0,0,0,0,0,0,2.1102479914194365
org.jdesktop.swingx.util.SwingWorker.setProgress,0,0,0,0,0,0,0,0,0,2.098054728097239
org.jdesktop.swingx.border.DropShadowBorder.getShadowSize,0,0,0,0,0,0,0,0,0,2.461162522853513
org.jdesktop.swingx.action.LinkModelAction.getTargetListener,0,0,0,0,0,0,0,0,0,2.5515899651936
org.jdesktop.swingx.plaf.basic.BasicThumbRenderer.getThumbRendererComponent,0,0,0,0,0,0,0,0,0,3.2633333333333336
org.jdesktop.swingx.table.ColumnHeaderRenderer.getIconTextGap,0,0,0,0,0,0,0,0,0,2.9673918353183977
net.sourceforge.ganttproject.gui.zoom.ZoomEvent.ZoomEvent,0,0,0,0,0,0,0,0,0,3.415277777777778
net.sourceforge.ganttproject.language.Event.getBusinessHoursEnd,0,0,0,0,0,0,0,0,0,1.1749078240366144
net.sourceforge.ganttproject.ProxyOkAction.createCancelAction,0,0,0,0,0,0,0,0,0,1.843333333333333
org.jdesktop.swingx.TreeTableModelAdapter.updateAfterExpansionEvent,0,0,0,0,0,0,0,0,0,2.69
net.sourceforge.ganttproject.task.TaskLengthImpl.getTimeUnit,0,0,0,0,0,0,0,0,0,2.664222415560789
net.sourceforge.ganttproject.calendar.WeekendCalendarImpl.getIntervalManager,0,0,0,0,0,0,0,0,0,2.0389577179267095
net.sourceforge.ganttproject.datafilter.task.PriorityTaskGroup.PriorityTaskGroup,0,0,0,0,0,0,0,0,0,3.495
org.jdesktop.swingx.error.ErrorInfo.getBasicErrorMessage,0,0,0,0,0,0,0,0,0,2.1002362473513547
net.sourceforge.ganttproject.gui.projectwizard.RoleSetPage.mouseClicked,0,0,0,0,0,0,0,0,0,2.4113334903885755
org.jdesktop.swingx.PatternModel.getFoundIndex,0,0,0,0,0,0,0,0,0,2.6931282761440962
org.jdesktop.swingx.JXHyperlink.getOverrulesActionOnClick,0,0,0,0,0,0,0,0,0,1.8104487843062982
org.jdesktop.swingx.treetable.DefaultTreeTableModel.getPathToRoot,0,0,0,0,0,0,0,0,0,3.6870491349449193
