ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability,Lines
net.sf.hibernate.dialect.InformixDialect.getSequenceNextValString,0,0,0,0,0,0,0,0,0,3.3,1
net.sf.hibernate.mapping.IndexedCollection.validate,0,0,0,0,0,0,0,0,0,0.0,4
net.sf.hibernate.type.LongType.seed,0,0,0,0,0,0,0,0,0,2.3864445295329078,1
org.hibernate.test.FooBarTest.testFetchList,0,0,0,0,0,0,0,0,0,1.487142857142857,16
net.sf.hibernate.impl.ScheduledDeletion.afterTransactionCompletion,0,0,0,0,0,0,0,0,0,3.1561891557317714,2
net.sf.hibernate.cfg.Settings.setJdbcBatchSize,0,0,0,0,0,0,0,0,0,0.8947585513670072,1
net.sf.hibernate.mapping.IndexedCollection.createPrimaryKey,0,0,0,0,0,0,0,0,0,0.0,6
net.sf.hibernate.LockMode.readResolve,0,0,0,0,0,0,0,0,0,1.3414068603511644,1
org.hibernate.perf.Main.testHibernateGet,0,0,0,0,0,0,0,0,0,0.5975,4
net.sf.hibernate.collection.BasicCollectionPersister.generateDeleteString,0,0,0,0,0,0,0,0,0,3.48,3
org.hibernate.perf.Record.setParent,0,0,0,0,0,0,0,0,0,4.56,1
org.hibernate.test.Baz.getGlarchToFoo,0,0,0,0,0,0,0,0,0,0.3448434787429872,1
net.sf.hibernate.expression.NotNullPropertySelector.include,0,0,0,0,0,0,0,0,0,3.5533333333333332,1
net.sf.hibernate.cache.OSCache.lock,0,0,0,0,0,0,0,0,0,4.89,0
net.sf.hibernate.impl.SessionFactoryImpl.isOuterJoinedFetchEnabled,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.hibernate.util.LinkedHashCollectionHelper.createLinkedHashSet,0,0,0,0,0,0,0,0,0,3.2593400201562766,3
org.hibernate.test.Many.getV,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.hibernate.cfg.Configuration.createMappings,0,0,0,0,0,0,0,0,0,0.9775085972705273,1
net.sf.hibernate.impl.IteratorImpl.remove,0,0,0,0,0,0,0,0,0,2.0473123219008436,8
net.sf.hibernate.impl.EvictVisitor.processCollection,0,0,0,0,0,0,0,0,0,3.67,3
org.hibernate.test.Struct.getDouble,0,0,0,0,0,0,0,0,0,2.3769977783991862,1
org.hibernate.test.Fum.setTString,0,0,0,0,0,0,0,0,0,3.2503175111281566,1
net.sf.hibernate.cfg.Environment.jvmHasTimestampBug,0,0,0,0,0,0,0,0,0,0.595150816668737,1
net.sf.hibernate.mapping.PersistentClass.setDynamicUpdate,0,0,0,0,0,0,0,0,0,2.615,1
net.sf.hibernate.cfg.Binder.getClassTableName,0,0,0,0,0,0,0,0,0,3.1658333333333335,5
net.sf.hibernate.loader.CriteriaLoader.getQuerySpaces,0,0,0,0,0,0,0,0,0,1.0349327299522175,1
org.hibernate.test.C1.getC2,0,0,0,0,0,0,0,0,0,1.7214404731884312,1
net.sf.hibernate.impl.LoadingCollectionEntry.getSnapshot,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.hibernate.ReplicationMode.readResolve,0,0,0,0,1,0,0,0,0,1.1881669944993598,1
net.sf.hibernate.impl.NonBatchingBatcher.doExecuteBatch,0,0,0,0,0,0,0,0,0,0.0,0
net.sf.hibernate.StaleObjectStateException.getMessage,0,0,0,0,0,0,0,0,0,2.503497759602838,1
org.hibernate.test.SQLLoaderTest.testEmbeddedCompositeProperties,0,0,0,0,0,0,0,0,0,2.2328275338643553,26
net.sf.hibernate.lob.ClobImpl.length,0,0,0,0,0,0,0,0,0,3.7035142066467106,1
net.sf.hibernate.cfg.Binder.propertiesFromXML,0,0,0,0,0,0,0,0,0,2.6019023142786204,34
net.sf.hibernate.impl.SessionFactoryImpl.getReturnTypes,0,0,0,0,0,0,0,0,0,1.9125,3
net.sf.hibernate.cache.TransactionalCache.release,0,0,0,0,0,0,0,0,0,4.5825,0
org.hibernate.test.FooBarTest.testCollectionOfSelf,0,0,0,0,0,0,0,0,0,2.2463620341109283,22
net.sf.hibernate.engine.QueryParameters.isCacheable,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.hibernate.util.ErrorLogger.fatalError,0,0,0,0,0,0,0,0,0,2.68,1
net.sf.hibernate.type.CalendarDateType.equals,0,0,0,0,0,0,0,0,0,2.17375,5
net.sf.hibernate.util.FastHashMap.putAll,0,0,0,0,0,0,0,0,0,3.1029669829543387,3
net.sf.hibernate.persister.AbstractEntityPersister.getVersionType,0,0,0,0,0,0,0,0,0,1.6324873823380437,1
net.sf.hibernate.expression.Junction.toSqlString,0,0,0,0,0,0,0,0,0,2.486011477790673,8
net.sf.hibernate.mapping.PersistentClass.createPrimaryKey,0,0,0,0,0,0,0,0,0,1.4337719685985089,4
net.sf.hibernate.type.ObjectTypeCacheEntry.assemble,0,0,0,0,0,0,0,0,0,1.5899999999999999,1
net.sf.hibernate.hql.QueryTranslator.getImportedClass,0,0,0,0,0,0,0,0,0,3.6140244507935604,1
net.sf.hibernate.odmg.Transaction.leave,0,0,0,0,0,0,0,0,0,3.2056044920376796,1
org.hibernate.test.Bar.setName,0,0,0,0,0,0,0,0,0,3.5,1
net.sf.hibernate.cache.ReadWriteCache.nextLockId,0,0,0,0,0,0,0,0,0,2.9720888641546592,3
net.sf.hibernate.type.BooleanType.stringToObject,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.hibernate.collection.OneToManyPersister.whereJoinFragment,0,0,0,0,0,0,0,0,0,2.0177777777777774,1
org.hibernate.test.Fum.setId,0,0,0,0,0,0,0,0,0,2.39,1
org.hibernate.test.Middle.equals,0,0,0,0,0,0,0,0,0,1.1304787087078614,7
org.hibernate.test.MultiplicityType.deepCopy,0,0,0,0,0,0,0,0,0,0.54,5
net.sf.hibernate.impl.CriterionEntry.setCacheable,0,0,0,0,0,0,0,0,0,0.0,2
net.sf.hibernate.type.ClobType.disassemble,0,0,0,0,0,0,0,0,0,2.1,1
net.sf.hibernate.collection.IdentifierBag.listIterator,0,0,0,0,0,0,0,0,0,1.715,2
net.sf.hibernate.mapping.RootClass.setIdentifier,0,0,0,0,0,0,0,0,0,2.52,1
net.sf.hibernate.id.CounterGenerator.generate,0,0,0,0,0,0,0,0,0,1.9,1
net.sf.hibernate.collection.SortedSubMap.keySet,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.hibernate.impl.CollectionKey.readObject,0,0,0,0,0,0,0,0,0,0.345,29
net.sf.hibernate.type.DynamicComponentType.getColumnSpan,0,0,0,0,0,0,0,0,0,1.3752258200398058,4
net.sf.hibernate.cfg.Binder.handleSubclass,0,0,0,0,0,0,0,0,0,1.6575000000000002,3
org.hibernate.test.Bar.getObject,0,0,0,0,0,0,0,0,0,2.9712571546374815,1
net.sf.hibernate.util.StringHelper.add,0,0,0,0,0,0,0,0,0,0.5700000000000001,4
net.sf.hibernate.persister.AbstractEntityPersister.getPropertyCascadeStyles,0,0,0,1,0,0,0,0,0,1.5678632904744527,1
net.sf.hibernate.mapping.RootClass.setPolymorphic,0,0,0,0,0,0,0,0,0,2.43,1
net.sf.hibernate.mapping.RootClass.addSubclass,0,0,0,0,0,0,0,0,0,2.1,2
net.sf.hibernate.xml.XMLDatabinder.getOutputStyleSheetTemplates,0,0,0,0,0,0,0,0,0,2.039833676102339,13
org.hibernate.test.ParentChildTest.testParentNullChild,0,0,0,0,0,0,0,0,0,0.0,18
net.sf.hibernate.mapping.Column.setCheckConstraint,0,0,0,0,0,0,0,0,0,3.5200000000000005,1
net.sf.hibernate.mapping.PersistentClass.validate,0,0,0,0,0,0,0,0,0,1.4866666666666666,5
net.sf.hibernate.ScrollMode.toResultSetType,0,0,0,0,0,0,0,0,0,2.8997211970141312,1
net.sf.hibernate.cache.ReadWriteCache.handleLockExpiry,0,0,0,0,0,0,0,0,0,2.9648699781003938,3
net.sf.hibernate.persister.AbstractEntityPersister.selectFragment,0,0,0,0,0,0,0,0,0,2.3118735469521403,1
org.hibernate.test.Baz.getComponents,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.hibernate.persister.NormalizedEntityPersister.getTableUpdateNeeded,0,0,0,0,0,0,0,0,0,1.9363210144956875,10
net.sf.hibernate.util.PropertiesHelper.getBoolean,0,0,0,0,0,0,0,0,0,2.095,1
net.sf.hibernate.expression.AbstractCriterion.getTypedValue,0,0,0,0,0,0,0,0,0,3.1060000000000003,1
net.sf.hibernate.impl.CollectionEntry.setLoadedPersister,0,0,0,0,0,0,0,0,0,0.8896797830293046,2
net.sf.hibernate.dialect.DB2Dialect.getLimitString,0,0,0,0,0,0,0,0,0,1.5493203699857077,12
org.hibernate.auction.AuctionItem.setCondition,0,0,0,0,0,0,0,0,0,0.8680625109448079,1
net.sf.hibernate.collection.AbstractCollectionPersister.getIdentifierGenerator,0,0,0,0,0,0,0,0,0,2.02706343187015,1
org.hibernate.test.Struct.setX,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.hibernate.impl.CollectionKey.reattachCollection,0,0,0,0,0,0,0,0,0,4.350872592458154,8
net.sf.hibernate.impl.AbstractQueryImpl.getLockModes,0,0,0,0,0,0,0,0,0,1.4123905502052725,1
org.hibernate.test.FumCompositeID.setShort,0,0,0,0,0,0,0,0,0,3.61,1
org.hibernate.test.FooBarTest.testVersionedCollections,0,0,0,0,0,0,0,0,0,1.568,59
net.sf.hibernate.impl.AbstractVisitor.processEntity,0,0,0,0,0,0,0,0,0,2.305,1
net.sf.hibernate.engine.CacheSynchronization.beforeCompletion,0,0,0,0,0,0,0,0,0,4.871313180947936,1
net.sf.hibernate.type.LongType.objectToSQLString,0,0,0,0,0,0,0,0,0,1.62,1
net.sf.hibernate.proxy.CGLIBLazyInitializer.getProxy,0,0,0,0,0,0,0,0,0,2.124535784097401,5
net.sf.hibernate.UnresolvableObjectException.getPersistentClass,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.hibernate.type.TypeFactory.map,0,0,0,0,0,0,0,0,0,2.19,1
org.hibernate.test.FooBarTest.testCallback,0,0,0,0,0,0,0,0,0,1.4525,22
net.sf.hibernate.id.CounterGenerator.main,0,0,0,0,0,0,0,0,0,0.7125,3
net.sf.hibernate.collection.IdentifierBag.empty,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.hibernate.transform.Identity.equals,0,0,0,0,0,0,0,0,0,2.0866666666666664,1
net.sf.hibernate.collection.AbstractCollectionPersister.isArray,0,0,0,0,0,0,0,0,0,1.6162249845374446,1
org.hibernate.test.Baz.compareTo,0,0,0,0,0,0,0,0,0,0.9679630596321158,1
org.hibernate.test.Qux.getKey,0,0,0,0,0,0,0,0,0,3.6579690372872173,1
net.sf.hibernate.sql.Insert.setTableName,0,0,0,0,0,0,0,0,0,4.2,2
net.sf.hibernate.mapping.PersistentClass.addProperty,0,0,0,0,0,0,0,0,0,2.23,1
net.sf.hibernate.collection.Set.properSubsetOf,0,0,0,0,0,0,0,0,0,2.725,2
net.sf.hibernate.expression.Expression.le,0,0,0,0,0,0,0,0,0,2.66,1
net.sf.hibernate.impl.CollectionKey.postUpdate,0,0,0,0,0,0,0,0,0,1.8775,8
org.hibernate.test.MasterDetailTest.testCollectionQuery,0,0,0,0,0,0,0,0,0,0.0,9
net.sf.hibernate.hql.WhereParser.appendToken,0,0,0,0,0,0,0,0,0,1.713169631202115,5
net.sf.hibernate.property.BasicGetter.getterMethod,0,0,0,0,0,0,0,0,0,2.1306290178594876,13
net.sf.hibernate.impl.ResultSetWrapper.updateBoolean,0,0,0,0,0,0,0,0,0,1.589,1
net.sf.hibernate.type.SetType.wrap,0,0,0,0,0,0,0,0,0,3.31,1
net.sf.hibernate.id.SequenceGenerator.sqlCreateStrings,0,0,0,0,0,0,0,0,0,1.3319704651450197,3
net.sf.hibernate.mapping.Property.setPropertyAccessorName,0,0,0,0,0,0,0,0,0,3.2552132691701914,1
org.hibernate.test.Glarch.setAny,0,0,0,0,0,0,0,0,0,1.72,1
org.hibernate.test.Sortable.getName,0,0,0,0,0,0,0,0,0,3.2080942784871507,1
org.hibernate.auction.User.getPassword,0,0,0,0,0,0,0,0,0,3.6720207615473903,1
org.hibernate.test.Glarch.setStrings,0,0,0,0,0,0,0,0,0,4.75,1
net.sf.hibernate.util.DTDEntityResolver.resolveEntity,0,0,0,0,0,0,0,0,0,2.8592182347867574,14
org.hibernate.test.Simple.setCount,0,0,0,0,0,0,0,0,0,3.0,1
net.sf.hibernate.engine.Key.isBatchLoadable,0,0,0,0,0,0,0,0,0,1.5333921195915874,1
net.sf.hibernate.collection.IdentifierBag.size,0,0,0,0,0,0,0,0,0,0.0,2
org.hibernate.test.Struct.getInteger,0,0,0,0,0,0,0,0,0,2.504672633968355,1
org.hibernate.test.ParentChildTest.testReplicate,0,0,0,0,0,0,0,0,0,1.7469999999999999,27
net.sf.hibernate.collection.ArrayHolder.initializeFromCache,0,0,0,0,0,0,0,0,0,0.9292313125696712,5
net.sf.hibernate.type.DateType.stringToObject,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.hibernate.type.TypeFactory.sortedSet,0,0,0,0,0,0,0,0,0,1.095,1
net.sf.hibernate.type.OneToOneType.resolveIdentifier,0,0,0,0,0,0,0,0,0,1.656666666666667,1
net.sf.hibernate.collection.Set.properSupersetOf,0,0,0,0,0,0,0,0,0,2.725,2
net.sf.hibernate.type.NullableType.deepCopy,0,0,0,0,0,0,0,0,0,1.62,1
net.sf.hibernate.type.CompositeCustomType.setPropertyValues,0,0,0,0,0,0,0,0,0,1.4025332492068712,3
net.sf.hibernate.hql.QueryTranslator.bindNamedParameters,0,0,0,0,0,0,0,0,0,1.0257265932064998,11
net.sf.hibernate.expression.NotNullOrZeroPropertySelector.addComponentTypedValues,0,0,0,0,0,0,0,0,0,1.8677739772336581,11
org.hibernate.test.CompositeElement.compareTo,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.hibernate.type.ComponentType.instantiate,0,0,0,0,0,0,0,0,0,2.324696462055884,9
net.sf.hibernate.impl.CollectionKey.getQueries,0,0,0,0,0,0,0,0,0,0.5780000000000001,5
net.sf.hibernate.type.TimeZoneType.toString,0,0,0,0,0,0,0,0,0,1.62,1
org.hibernate.test.Struct.setBoolean,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.hibernate.mapping.Collection.getBatchSize,0,0,0,0,0,0,0,0,0,2.3661112579496257,1
net.sf.hibernate.impl.CriterionEntry.getCriteriaClass,0,0,0,0,0,0,0,0,0,2.86,1
net.sf.hibernate.collection.Set.contains,0,0,0,0,0,0,0,0,0,1.266902871008209,2
org.hibernate.test.Parent.getX,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.hibernate.JDBCException.getSQLException,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.hibernate.mapping.Collection.getComparator,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.hibernate.collection.Map.isEmpty,0,0,0,0,0,0,0,0,0,3.833535855554408,2
net.sf.hibernate.impl.SessionFactoryImpl.isQueryCacheEnabled,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.hibernate.tool.hbm2ddl.SchemaExportTask.addFileset,0,0,0,0,0,0,0,0,0,2.7620242531608348,1
net.sf.hibernate.collection.IteratorProxy.hasNext,0,0,0,0,0,0,0,0,0,0.0,1
org.hibernate.test.FooBarTest.testVerifyParameter,0,0,0,0,0,0,0,0,0,0.0,27
net.sf.hibernate.cache.ReadOnlyCache.setMinimalPuts,0,0,0,0,0,0,0,0,0,1.0,1
net.sf.hibernate.collection.Set.entryExists,0,0,0,0,0,0,0,0,0,2.445,1
net.sf.hibernate.sql.Insert.addColumn,0,0,0,0,0,0,0,0,0,2.6270606362630624,1
net.sf.hibernate.impl.WrapVisitor.processValues,0,0,0,0,0,0,0,0,0,1.0030527645899627,6
net.sf.hibernate.property.BasicGetter.getMethod,0,0,0,0,0,0,0,0,0,2.017962301930443,1
net.sf.hibernate.jca.JCASessionImpl.contains,0,0,0,0,0,0,0,0,0,3.66,1
net.sf.hibernate.cfg.Settings.setQueryCacheEnabled,0,0,0,0,0,0,0,0,0,0.7729779081840736,1
net.sf.hibernate.type.TypeFactory.disassemble,0,0,0,0,0,0,0,0,0,1.302,4
net.sf.hibernate.collection.ArrayHolder.elements,0,0,0,0,0,0,0,0,0,2.6138372958386493,4
org.hibernate.test.Master.getDetails,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.hibernate.impl.ScrollableResultsImpl.getDouble,0,0,0,1,0,0,0,0,0,0.0,1
org.hibernate.test.Qux.setFums,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.hibernate.impl.ResultSetWrapper.isBeforeFirst,0,0,0,0,0,0,0,0,0,0.0,1
net.sf.hibernate.impl.LoadingCollectionEntry.getCollection,0,0,0,0,0,0,0,0,0,2.784602758658566,1
net.sf.hibernate.id.TableGenerator.generatorKey,0,0,0,0,0,0,0,0,0,3.086058837092241,1
net.sf.hibernate.impl.ScrollableResultsImpl.beforeFirst,0,0,0,0,0,0,0,0,0,0.0,3
net.sf.hibernate.sql.ForUpdateFragment.addTableAlias,0,0,0,0,0,0,0,0,0,1.43,4
net.sf.hibernate.Hibernate.initialize,0,0,0,0,0,0,0,0,0,2.07,9
org.hibernate.test.MoreStuff.setName,0,0,0,0,0,0,0,0,0,3.5,1
