ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability
net.sf.hibernate.engine.IdentifierValue.IdentifierValue,0,0,0,0,0,0,0,0,0,1.62
net.sf.hibernate.dialect.InformixDialect.getSequenceNextValString,0,0,0,0,0,0,0,0,0,3.3
net.sf.hibernate.mapping.IndexedCollection.validate,0,0,0,0,0,0,0,0,0,0.0
net.sf.hibernate.type.LongType.seed,0,0,0,0,0,0,0,0,0,2.3864445295329078
org.hibernate.test.FooBarTest.testFetchList,0,0,0,0,0,0,0,0,0,1.487142857142857
net.sf.hibernate.impl.ScheduledDeletion.afterTransactionCompletion,0,0,0,0,0,0,0,0,0,3.1561891557317714
net.sf.hibernate.cfg.Settings.setJdbcBatchSize,0,0,0,0,0,0,0,0,0,0.8947585513670072
net.sf.hibernate.mapping.IndexedCollection.createPrimaryKey,0,0,0,0,0,0,0,0,0,0.0
net.sf.hibernate.LockMode.readResolve,0,0,0,0,0,0,0,0,0,1.3414068603511644
org.hibernate.perf.Main.testHibernateGet,0,0,0,0,0,0,0,0,0,0.5975
net.sf.hibernate.collection.BasicCollectionPersister.generateDeleteString,0,0,0,0,0,0,0,0,0,3.48
org.hibernate.perf.Record.setParent,0,0,0,0,0,0,0,0,0,4.56
org.hibernate.test.Baz.getGlarchToFoo,0,0,0,0,0,0,0,0,0,0.3448434787429872
net.sf.hibernate.expression.NotNullPropertySelector.include,0,0,0,0,0,0,0,0,0,3.5533333333333332
net.sf.hibernate.cache.OSCache.lock,0,0,0,0,0,0,0,0,0,4.89
net.sf.hibernate.impl.SessionFactoryImpl.isOuterJoinedFetchEnabled,0,0,0,0,0,0,0,0,0,0.0
net.sf.hibernate.util.LinkedHashCollectionHelper.createLinkedHashSet,0,0,0,0,0,0,0,0,0,3.2593400201562766
org.hibernate.test.Many.getV,0,0,0,0,0,0,0,0,0,0.0
net.sf.hibernate.cfg.Configuration.createMappings,0,0,0,0,0,0,0,0,0,0.9775085972705273
net.sf.hibernate.impl.IteratorImpl.remove,0,0,0,0,0,0,0,0,0,2.0473123219008436
net.sf.hibernate.collection.SubSetProxy.SortedSet,0,0,0,0,0,0,0,0,0,1.2603910835307006
net.sf.hibernate.ReplicationMode.ReplicationMode,0,0,0,0,0,0,0,0,0,3.1799999999999997
