ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability,Lines
org.gjt.sp.jedit.options.BrowserColorsModel.isCellEditable,0,0,0,0,0,0,0,0,0,1.965,1
org.gjt.sp.jedit.gui.PanelWindowContainer.sortDockables,0,0,0,0,0,0,0,0,0,1.9734321161588855,7
bsh.BshClassManager.addClassPath,0,0,0,0,0,0,0,0,0,4.41,0
org.gjt.sp.jedit.syntax.ParserRuleSet.setTerminateChar,0,0,0,0,0,0,0,0,0,1.035,1
org.gjt.sp.jedit.options.AbbrevsOptionPane._save,0,0,0,0,0,0,0,0,0,1.0933333333333333,8
org.gjt.sp.jedit.browser.BrowserView.popupMenuWillBecomeVisible,0,0,0,0,0,0,0,0,0,0.0,0
macos.script.AppleScriptHandler.accept,0,0,0,0,0,0,0,0,0,4.41,1
bsh.Variable.getType,0,0,0,0,0,0,0,0,0,2.475467022044202,1
org.gjt.sp.jedit.browser.VFSBrowser.searchInDirectory,0,0,0,0,0,0,0,0,0,3.3365231693944435,5
org.gjt.sp.jedit.buffer.PosBottomHalf.unref,0,0,0,0,0,0,0,0,0,3.5761205975728676,2
installer.TarEntry.setNames,0,0,0,0,0,0,0,0,0,3.5700000000000003,2
org.gjt.sp.jedit.gui.OptionTreeModel.addTreeModelListener,0,0,0,0,0,0,0,0,0,3.13,1
org.gjt.sp.jedit.Autosave.setInterval,0,0,0,0,0,0,0,0,0,2.4095763626471722,13
org.objectweb.asm.ByteVector.enlarge,0,0,0,0,0,0,0,0,0,2.951803761445152,2
com.microstar.xml.HandlerBase.attribute,0,0,0,0,0,0,0,0,0,0.805,0
org.gjt.sp.jedit.textarea.TextAreaPainter.removeExtension,0,0,0,0,0,0,0,0,0,2.93,2
org.gjt.sp.jedit.options.AbbrevsModel.add,0,0,0,0,0,0,0,0,0,1.4177696829002193,2
org.gjt.sp.jedit.search.MultiFileActionHandler.actionPerformed,0,0,0,0,0,0,0,0,0,0.0,9
org.gjt.sp.jedit.gui.DefaultInputHandler.setCurrentBindings,0,0,0,0,0,0,0,0,0,1.0761815014983256,2
com.microstar.xml.XmlParser.parseEnumeration,0,0,0,0,0,0,0,0,0,0.0,12
bsh.JJTParserState.closeNodeScope,0,0,0,0,0,0,0,0,0,0.5080720151386795,8
org.gjt.sp.jedit.textarea.JEditTextArea.getScreenLineOfOffset,0,0,0,0,0,0,0,0,0,3.625,2
bsh.NameSpace.setClassInstance,0,0,0,0,0,0,0,0,0,1.97,2
org.gjt.sp.jedit.help.HelpFile.toString,0,0,0,0,0,0,0,0,0,3.2606370485377316,1
bsh.ParseException.getMessage,0,0,1,0,0,0,0,0,0,1.3265183217073147,1
org.gjt.sp.jedit.OperatingSystem.hasScreenMenuBar,0,0,0,0,0,0,0,0,0,2.85,8
bsh.Types.castError,0,0,0,0,0,0,0,0,0,1.5765758986841782,1
org.gjt.sp.jedit.io.VFS._canonPath,0,0,0,0,0,0,0,0,0,2.33,1
org.gjt.sp.jedit.gui.Key.toString,0,0,0,0,0,0,0,0,0,2.0531107988471353,1
org.gjt.sp.jedit.options.ListHandler.valueChanged,0,0,0,0,0,0,0,0,0,0.0,1
org.gjt.sp.jedit.gui.FontSelectorDialog.updatePreview,0,0,0,0,0,0,0,0,0,2.821667868679629,4
org.gjt.sp.jedit.pluginmgr.MirrorCompare.compare,0,0,0,0,0,0,0,0,0,2.2,5
org.gjt.sp.jedit.buffer.LineManager.getScreenLineCount,0,0,0,0,0,0,0,0,0,4.5,1
org.gjt.sp.jedit.pluginmgr.Install.runInAWTThread,0,0,0,0,0,0,0,0,0,2.141927283184956,25
org.gjt.sp.jedit.gui.OptionTreeModel.getChild,0,0,0,0,0,0,0,0,0,3.995,5
org.gjt.sp.jedit.syntax.DefaultTokenHandler.handleToken,0,0,0,0,0,0,0,0,0,2.6133333333333333,2
org.gjt.sp.jedit.textarea.JEditTextArea.showWordCountDialog,0,0,0,0,0,0,0,0,0,2.34,5
org.gjt.sp.jedit.View.updateTitle,0,0,0,0,0,0,0,0,0,1.5224205301918534,12
bsh.Interpreter.setStrictJava,0,0,0,0,0,0,0,0,0,0.0,1
org.gjt.sp.jedit.gui.FloatAction.getCode,0,0,0,0,0,0,0,0,0,0.81,1
org.gjt.sp.jedit.help.TOCHandler.charData,0,0,0,0,0,0,0,0,0,0.465,7
org.gjt.sp.jedit.PropValue.getCurrentIndentForLine,0,0,0,0,0,0,0,0,0,1.7094972227385004,15
org.gjt.sp.jedit.textarea.Gutter.setFoldColor,0,0,0,0,0,0,0,0,0,4.105,1
org.gjt.sp.jedit.gui.OptionsDialog.addOptionPane,0,0,0,0,0,0,0,0,0,3.86,1
org.gjt.sp.jedit.browser.VFSDirectoryEntryTable.getSelectedFiles,0,0,0,0,0,0,0,0,0,2.0412500000000002,4
org.gjt.sp.jedit.gui.DefaultInputHandler.removeKeyBinding,0,0,0,0,0,0,0,0,0,2.3229871272142883,15
bsh.Parser.jj_2_15,0,0,0,0,0,0,0,0,0,0.0,5
bsh.Parser.TypedVariableDeclaration,2,0,0,0,0,0,0,0,0,0.0,42
org.gjt.sp.jedit.pluginmgr.PluginListHandler.endElement,0,0,0,0,0,0,0,0,0,1.9405924498391258,43
org.gjt.sp.jedit.gui.MemoryStatus.actionPerformed,0,0,0,0,0,0,0,0,0,0.0,1
org.gjt.sp.jedit.help.ResultRenderer.getListCellRendererComponent,0,0,0,0,0,0,0,0,0,2.7759929574035183,9
org.gjt.sp.jedit.PropValue.getLineParenWeight,0,0,0,0,0,0,0,0,0,2.2221458016031157,8
org.gjt.sp.jedit.pluginmgr.InstallButton.actionPerformed,0,0,0,0,0,0,0,0,0,2.257360361560365,25
bsh.Parser.jj_2_27,0,0,0,0,0,0,0,0,0,0.0,5
org.gjt.sp.jedit.help.HelpIndex.addWord,0,0,0,0,0,0,0,0,0,2.113647805762699,6
bsh.BSHThrowStatement.eval,0,0,0,0,0,0,0,0,0,1.2233333333333334,3
bsh.ParserTokenManager.SwitchTo,1,0,0,0,0,0,0,0,0,1.76,3
bsh.Token.toString,0,0,0,0,0,0,0,0,0,3.2596487365971987,1
org.gjt.sp.jedit.EditPane.handleMessage,0,0,0,0,0,0,0,0,0,0.0,6
installer.JEditLauncherOSTask.getOSTasks,0,0,0,0,0,0,0,0,0,3.72,1
gnu.regexp.RETokenPOSIX.intValue,0,0,0,0,0,0,0,0,0,2.563333333333333,5
org.gjt.sp.jedit.browser.VFSBrowser.createMenuBar,0,0,0,0,0,0,0,0,0,1.5566666666666666,8
org.gjt.sp.jedit.syntax.Token.toString,0,0,0,0,0,0,0,0,0,2.529766051043048,1
bsh.Reflect.invokeOnMethod,0,0,0,0,0,0,0,0,0,1.0424132695474984,22
org.gjt.sp.jedit.gui.HistoryTextField.processKeyEvent,0,0,0,0,1,0,0,0,0,0.0,31
installer.TarOutputStream.setDebug,0,0,0,0,0,0,0,0,0,1.33,1
org.gjt.sp.jedit.options.BrowserColorsModel.moveUp,0,0,0,0,0,0,0,0,0,1.715,3
bsh.Parser.CastExpression,1,0,0,0,0,0,0,0,0,0.0,41
installer.CBZip2InputStream.setupNoRandPartA,0,0,0,0,0,0,0,0,0,0.7526158584076478,13
com.microstar.xml.XmlParser.parseDocument,0,0,0,0,0,0,0,0,0,0.0,8
org.gjt.sp.jedit.io.FileRootsVFS._listDirectory,0,0,0,0,0,0,0,0,0,0.7916666666666666,5
org.gjt.sp.jedit.MiscUtilities.getParentOfPath,0,0,0,0,0,0,0,0,0,4.41,1
bsh.Parser.jj_3R_218,0,0,0,0,0,0,0,0,0,0.0,9
org.gjt.sp.jedit.gui.DockableListHandler.getCachedDockableActionFlags,0,0,0,0,0,0,0,0,0,1.757346983053432,4
installer.CBZip2OutputStream.writeRun,0,0,0,0,0,0,0,0,0,0.7732309531222094,38
org.gjt.sp.jedit.help.HelpViewer.gotoURL,0,0,1,0,0,0,0,0,0,0.5939634404003495,38
