ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability
org.gjt.sp.jedit.options.BrowserColorsModel.isCellEditable,0,0,0,0,0,0,0,0,0,1.965
org.gjt.sp.jedit.gui.PanelWindowContainer.sortDockables,0,0,0,0,0,0,0,0,0,1.9734321161588855
org.gjt.sp.jedit.NonVetoable.NonVetoable,0,0,0,0,0,0,0,0,0,2.96
bsh.BshClassManager.addClassPath,0,0,0,0,0,0,0,0,0,4.41
org.gjt.sp.jedit.syntax.ParserRuleSet.setTerminateChar,0,0,0,0,0,0,0,0,0,1.035
org.gjt.sp.jedit.options.AbbrevsOptionPane._save,0,0,0,0,0,0,0,0,0,1.0933333333333333
org.gjt.sp.jedit.browser.BrowserView.popupMenuWillBecomeVisible,0,0,0,0,0,0,0,0,0,0.0
org.gjt.sp.jedit.View.View,0,0,0,0,0,0,0,0,0,0.833015845485562
macos.script.AppleScriptHandler.accept,0,0,0,0,0,0,0,0,0,4.41
bsh.Variable.getType,0,0,0,0,0,0,0,0,0,2.475467022044202
org.gjt.sp.jedit.browser.VFSBrowser.searchInDirectory,0,0,0,0,0,0,0,0,0,3.3365231693944435
org.gjt.sp.jedit.buffer.PosBottomHalf.unref,0,0,0,0,0,0,0,0,0,3.5761205975728676
installer.NonInteractiveInstall.NonInteractiveInstall,0,0,0,0,0,0,0,0,0,1.0624595225717366
org.gjt.sp.jedit.search.DirectoryListSet._getFiles,0,0,0,0,0,0,0,0,0,1.21875
org.gjt.sp.jedit.menu.EditBusStub.EditBusStub,0,0,0,0,0,0,0,0,0,3.37125
installer.TarEntry.setNames,0,0,0,0,0,0,0,0,0,3.5700000000000003
org.gjt.sp.jedit.gui.OptionTreeModel.addTreeModelListener,0,0,0,0,0,0,0,0,0,3.13
org.gjt.sp.jedit.Autosave.setInterval,0,0,0,0,0,0,0,0,0,2.4095763626471722
