ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability
net.sf.jasperreports.engine.base.JRBaseTextElement.setReportFont,0,0,0,0,0,0,0,0,0,3.3225
net.sf.jasperreports.charts.fill.JRFillAreaPlot.getValueAxisLabelFont,0,0,0,0,0,0,0,0,0,2.357064425068966
net.sf.jasperreports.engine.fill.JRVerticalFiller.fillTitle,0,0,0,0,0,0,0,0,0,3.5757738226432476
net.sf.jasperreports.olap.JRMondrianQueryExecuter.getParameterReplacement,0,0,0,0,0,0,0,0,0,2.99
net.sf.jasperreports.engine.fill.BoundElementMap.collectStyles,0,0,0,0,0,0,0,0,0,1.7941688597753698
net.sf.jasperreports.engine.fill.BoundElementMap.newPage,0,0,0,0,0,0,0,0,0,2.165018056472217
net.sf.jasperreports.engine.DefaultStyleProvider.getOrigins,0,0,0,0,0,0,0,0,0,1.3852300080360243
net.sf.jasperreports.engine.fill.JRTemplateText.getBottomBorder,0,0,0,0,0,0,0,0,0,2.622522632827466
net.sf.jasperreports.engine.base.JRBaseChart.setBottomPadding,0,0,0,0,0,0,0,0,0,3.8186824659347534
net.sf.jasperreports.engine.JasperRunManager.runReportToPdf,0,0,0,0,0,0,0,0,0,1.2508912825135727
net.sf.jasperreports.engine.base.JRBaseFrame.collectExpressions,0,0,0,0,0,0,0,0,0,4.1
net.sf.jasperreports.engine.base.JRBaseChart.getHyperlinkTooltipExpression,0,0,0,0,0,0,0,0,0,1.2339381368198103
net.sf.jasperreports.engine.base.JRBaseElement.getDefaultStyleProvider,0,0,0,0,0,0,0,0,0,2.207530380349418
net.sf.jasperreports.engine.xml.JRXmlWriter.writeMeterInterval,0,0,0,0,0,0,0,0,0,2.57
net.sf.jasperreports.engine.base.JRBaseImage.getLinkType,0,0,0,0,0,0,0,0,0,1.9250751121026852
net.sf.jasperreports.charts.fill.JRFillBarPlot.setShowTickLabels,0,0,0,0,0,0,0,0,0,2.5325
net.sf.jasperreports.engine.xml.XmlWriterVisitor.visitElementGroup,0,0,0,0,0,0,0,0,0,2.7789149594324822
net.sf.jasperreports.engine.fill.JRFillBand.evaluatePrintWhenExpression,0,0,0,0,0,0,0,0,0,2.5925328766652074
net.sf.jasperreports.engine.util.LineBoxWrapper.getStyleNameReference,0,0,0,0,0,0,0,0,0,3.9495685995378023
net.sf.jasperreports.engine.fill.JRTemplateImage.setChart,0,0,0,0,0,0,0,0,0,4.0724566077127715
net.sf.jasperreports.charts.fill.JRFillXyzDataset.getSeries,0,0,0,1,0,0,0,0,0,1.2812060823289493
net.sf.jasperreports.engine.fill.JRFillGraphicElement.prepare,0,0,0,0,0,0,0,0,0,2.116502327349971
net.sf.jasperreports.charts.fill.JRFillTimePeriodSeries.getItemHyperlink,0,0,0,0,0,0,0,0,0,3.4018214727813705
net.sf.jasperreports.engine.export.JRXlsExporter.exportText,0,0,0,0,0,0,0,0,0,2.495402605539966
net.sf.jasperreports.engine.util.LongQueue.growIfFull,0,0,0,0,0,0,0,0,0,1.915808979599452
net.sf.jasperreports.engine.base.JRBaseTextElement.getOwnLineSpacing,0,0,0,0,0,0,0,0,0,2.6020088438137146
net.sf.jasperreports.engine.fill.JRFillContext.getMasterLocale,0,0,0,0,0,0,0,0,0,1.8133177189264307
net.sf.jasperreports.engine.util.xml.NodeListWrapper.getLength,0,0,0,0,0,0,0,0,0,0.0
net.sf.jasperreports.engine.fill.JRGzipVirtualizer.pageOut,0,0,0,0,0,0,0,0,0,1.1327171347107898
net.sf.jasperreports.engine.fill.JRFillBreak.getWidth,0,0,0,0,0,0,0,0,0,3.64
net.sf.jasperreports.engine.JRHyperlinkHelper.isEmpty,0,0,0,0,0,0,0,0,0,4.03
net.sf.jasperreports.charts.fill.JRFillBubblePlot.getOwnYAxisLabelColor,0,0,0,0,0,0,0,0,0,2.1503296946943515
net.sf.jasperreports.engine.fill.JRFillChart.evaluateDatasetRun,0,0,0,0,0,0,0,0,0,2.4290121811459024
net.sf.jasperreports.engine.fill.JREvaluationTime.getBandEvaluationTime,0,0,0,0,0,0,0,0,0,4.68
net.sf.jasperreports.engine.fill.JRFillSubreportReturnValue.getToVariable,0,0,0,0,0,0,0,0,0,3.943133829149649
net.sf.jasperreports.engine.xml.JRXmlWriter.writeAreaPlot,0,0,0,0,0,0,0,0,0,3.1124678483118777
net.sf.jasperreports.engine.base.JRBaseGroup.getEventSupport,0,0,0,0,0,0,0,0,0,2.7229540154989995
net.sf.jasperreports.charts.fill.JRFillBarPlot.setCategoryAxisLabelColor,0,0,0,0,0,0,0,0,0,4.08
net.sf.jasperreports.engine.xml.NumberExpressionFactory.createObject,0,0,0,0,0,0,0,0,0,1.27
net.sf.jasperreports.engine.query.Empty_class.Non_in_method,0,0,0,0,0,0,0,0,0,2.586666666666667
net.sf.jasperreports.crosstabs.fill.JRFillCrosstabParameter.JRFillCrosstabParameter,0,0,0,0,0,0,0,0,0,3.5866666666666664
net.sf.jasperreports.engine.fill.JRFillEllipse.createClone,0,0,0,0,0,0,0,0,0,4.76
net.sf.jasperreports.charts.base.JRBaseTimeSeries.getSeriesExpression,0,0,0,0,0,0,0,0,0,2.277969778190503
net.sf.jasperreports.engine.design.JRDesignVariable.setResetType,0,0,0,0,0,0,0,0,0,2.423222754563755
net.sf.jasperreports.engine.base.JRBasePrintText.addHyperlinkParameter,0,0,0,0,0,0,0,0,0,1.780033131962718
net.sf.jasperreports.engine.design.JRDesignTextField.setHyperlinkPageExpression,0,0,0,0,0,0,0,0,0,3.2716666666666665
net.sf.jasperreports.crosstabs.fill.calculation.BucketingService.processData,0,0,0,0,0,0,0,0,0,1.5884762790945997
net.sf.jasperreports.engine.fill.JRDistinctCountExtendedIncrementer.increment,0,0,0,0,0,0,0,0,0,2.700822750206142
net.sf.jasperreports.engine.base.JRBaseChartPlot.setOrientation,0,0,0,0,0,0,0,0,0,2.4900333682219924
net.sf.jasperreports.engine.query.QueryParameter.getCollectedParameterNames,0,0,0,0,0,0,0,0,0,1.2478242805805435
net.sf.jasperreports.charts.design.JRDesignHighLowDataset.setSeriesExpression,0,0,0,0,0,0,0,0,0,2.267645776259281
net.sf.jasperreports.engine.design.JRDesignDatasetRun.addParameter,0,0,0,0,0,0,0,0,0,2.0055010658212544
net.sf.jasperreports.engine.xml.JRXmlWriter.JRXmlWriter,0,0,0,0,0,0,0,0,0,1.96
net.sf.jasperreports.engine.design.events.CollectionListenerAdapter.getListener,0,0,0,0,0,0,0,0,0,3.0696104148447847
net.sf.jasperreports.engine.fill.JRFillDataset.setFields,0,0,0,0,0,0,0,0,0,1.6711135763085432
net.sf.jasperreports.olap.xmla.JRXmlaMemberTuple.setMember,0,0,0,0,0,0,0,0,0,2.1666666666666665
net.sf.jasperreports.engine.JRImageRenderer.render,0,0,0,0,0,0,0,0,0,0.0
net.sf.jasperreports.engine.design.JRDesignChart.setHyperlinkAnchorExpression,0,0,0,0,0,0,0,0,0,3.25
net.sf.jasperreports.engine.fill.JRFillVariable.isSystemDefined,0,0,0,0,0,0,0,0,0,3.2476241591086485
net.sf.jasperreports.engine.design.JRDefaultCompilationSourceCode.getExpressionAtLine,0,0,0,0,0,0,0,0,0,3.228977573193073
net.sf.jasperreports.engine.design.JRValidationFault.setSource,0,0,0,0,0,0,0,0,0,2.96
net.sf.jasperreports.engine.fill.JRTemplatePrintElement.setHeight,0,0,0,0,0,0,0,0,0,3.86
net.sf.jasperreports.engine.xml.JRXmlWriter.writeMeterChart,0,0,0,0,0,0,0,0,0,2.2315977627036534
net.sf.jasperreports.engine.fill.BoxContents.hashCode,0,0,0,0,0,0,0,0,0,3.029800755779296
net.sf.jasperreports.charts.base.JRBaseBubblePlot.getXAxisTickLabelMask,0,0,0,0,0,0,0,0,0,2.56272455524212
net.sf.jasperreports.engine.fill.JRFillTextElement.setVerticalAlignment,0,0,0,0,0,0,0,0,0,3.37
net.sf.jasperreports.engine.fill.JRFillElement.getPositionType,0,0,0,0,0,0,0,0,0,3.2190818945453405
