ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability,Lines
jmencode.MuxerForm.audtracknameFieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0,0
jmencode.SplashWindow.paint,0,0,0,0,0,1,0,0,0,1.6220925224156222,10
jmencode.Settings.saveSettingstoFile,0,1,0,0,1,0,0,0,0,2.8170895166761905,11
jmencode.Subtrack.getAudioTrack,0,0,0,0,0,0,0,0,0,0.48666666666666664,1
jmencode.MainGUI.bitratefieldFocusLost,0,0,0,0,0,0,0,0,0,0.0,2
jmencode.VideoInfoForm.run,0,0,0,0,0,0,0,0,0,2.15,3
jmencode.MplayerController.mouseReleased,0,0,0,0,0,0,0,0,0,1.6475,1
jmencode.Settings.setScaleValues,0,0,0,0,1,0,0,0,0,0.0,21
jmencode.MainGUI.extractasWAVButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0,1
jmencode.ImgPreviewPanel.doCropCalc,0,0,0,0,4,0,0,0,0,0.4975703706807579,16
jmencode.MplayerController.movieSliderMouseReleased,0,0,0,0,0,0,0,0,0,0.81,1
jmencode.LogPanel.add,0,0,0,0,0,0,0,0,0,0.0,3
jmencode.MuxerForm.construct,0,0,0,0,0,0,0,0,0,1.613797828571907,7
jmencode.ExecProgram.ExecuteM,2,3,0,0,3,0,0,0,0,1.0954712310805943,1
jmencode.MainGUI.previewCurrentTrackButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0,1
jmencode.MainGUI.dovideoArgs,0,0,0,0,0,0,0,0,0,0.7673957375376347,11
jmencode.ThreadVar.interrupt,0,0,0,0,0,0,0,0,0,1.004163232505762,4
jmencode.MainGUI.resetsizeButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0,4
jmencode.SplashWindow.update,0,0,0,0,0,0,0,0,0,0.0,2
jmencode.MuxerForm.chapterinputFieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0,3
jmencode.MuxerForm.cancelMuxButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0,0
jmencode.MainGUI.refreshprevButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0,2
jmencode.VideoInfoForm.add,0,0,0,0,0,0,0,0,0,0.0,3
jmencode.SettingsForm.actionPerformed,0,0,0,0,0,0,0,0,0,1.448615856624351,1
jmencode.Subtrack.print,0,0,0,0,0,0,0,0,0,0.8805451316647268,8
jmencode.ImgPreviewPanel.getPrevHeight,0,0,0,0,0,0,0,0,0,1.0411374859030016,1
