ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability
jmencode.MuxerForm.audtracknameFieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.SplashWindow.paint,0,0,0,0,0,1,0,0,0,1.6220925224156222
jmencode.Settings.saveSettingstoFile,0,1,0,0,1,0,0,0,0,2.8170895166761905
jmencode.Subtrack.getAudioTrack,0,0,0,0,0,0,0,0,0,0.48666666666666664
jmencode.MainGUI.bitratefieldFocusLost,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.getVideoInfo,0,0,0,0,0,0,0,0,0,1.2304402059111985
jmencode.VideoInfoForm.run,0,0,0,0,0,0,0,0,0,2.15
jmencode.MplayerController.mouseReleased,0,0,0,0,0,0,0,0,0,1.6475
jmencode.Settings.setScaleValues,0,0,0,0,1,0,0,0,0,0.0
jmencode.ThreadVar.SwingWorker,0,0,0,0,0,0,0,0,0,2.62
jmencode.MainGUI.extractasWAVButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.ImgPreviewPanel.doCropCalc,0,0,0,0,4,0,0,0,0,0.4975703706807579
jmencode.MplayerController.movieSliderMouseReleased,0,0,0,0,0,0,0,0,0,0.81
jmencode.LogPanel.add,0,0,0,0,0,0,0,0,0,0.0
jmencode.MuxerForm.construct,0,0,0,0,0,0,0,0,0,1.613797828571907
jmencode.ExecProgram.ExecuteM,2,3,0,0,3,0,0,0,0,1.0954712310805943
jmencode.MainGUI.previewCurrentTrackButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.dovideoArgs,0,0,0,0,0,0,0,0,0,0.7673957375376347
jmencode.ThreadVar.interrupt,0,0,0,0,0,0,0,0,0,1.004163232505762
jmencode.MainGUI.resetsizeButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.SplashWindow.update,0,0,0,0,0,0,0,0,0,0.0
jmencode.MuxerForm.chapterinputFieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MuxerForm.cancelMuxButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.refreshprevButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.VideoInfoForm.add,0,0,0,0,0,0,0,0,0,0.0
jmencode.Settings.Non_in_method,0,0,0,0,0,0,0,0,0,0.0
jmencode.SettingsForm.actionPerformed,0,0,0,0,0,0,0,0,0,1.448615856624351
jmencode.Subtrack.print,0,0,0,0,0,0,0,0,0,0.8805451316647268
jmencode.ImgPreviewPanel.getPrevHeight,0,0,0,0,0,0,0,0,0,1.0411374859030016
jmencode.MainGUI.selecttimeCheckBoxActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.unsharpBoxActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.LNFSetter.LNFSetter,0,0,0,0,0,0,0,0,0,2.787723720309207
jmencode.MuxerForm.automuxButtonActionPerformed,0,0,0,0,0,0,0,0,0,1.206654707628941
jmencode.MainGUI.codecfieldActionPerformed,0,0,0,0,0,0,0,0,0,0.7196515655440622
jmencode.ImgPreviewPanel.mousePressed,0,0,0,0,0,0,0,0,0,0.0
jmencode.SettingsForm.getmencoderpathButtonActionPerformed,0,0,0,0,0,0,0,0,0,1.625
jmencode.Subtrack.resetInfo,0,0,0,0,0,0,0,0,0,0.5628786267415495
jmencode.ImgPreviewPanel.paintComponent,0,0,0,0,0,0,0,0,0,0.9034202794710632
jmencode.MplayerParser.parseDARInfo,0,0,0,0,0,0,0,0,0,1.815
jmencode.MainGUI.frameforwardButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MplayerController.muteButtonActionPerformed,1,1,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.playagainButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.4101688862888626
jmencode.ExecProgram.main,0,0,0,0,0,0,0,0,0,0.0
jmencode.Audiotrack.print,0,0,0,0,0,0,0,0,0,1.3700806372259826
jmencode.ThreadVar.get,0,0,0,0,0,0,0,0,0,2.253565798685805
jmencode.MuxerForm.updateComponents,0,0,0,0,0,0,0,0,0,0.0
jmencode.LNFSetter.Non_in_method,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.dvdtitleFieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.construct,0,0,0,0,0,0,0,0,0,0.6756098690801998
jmencode.MuxerForm.manualmuxButtonActionPerformed,0,0,0,0,0,0,0,0,0,1.2052751378396793
jmencode.SplashWindow.splash,0,0,0,0,0,0,0,0,0,1.34
jmencode.MainGUI.doaudioArgs,0,0,0,0,0,0,0,0,0,0.9033333333333333
jmencode.Settings.parseVideoInfo,0,0,0,0,1,0,0,0,0,2.290496005448378
jmencode.MainGUI.fourccfieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MuxerForm.muxvideoinputFieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.RescaleOptionsForm.useMod16BoxActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.Settings.getfields,0,0,0,0,0,0,0,0,0,2.0415421218495164
jmencode.MainGUI.outputfieldActionPerformed,0,0,0,0,0,0,0,0,0,0.6058139208286685
jmencode.ImgPreviewPanel.mouseReleased,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.jButton2ActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MuxerForm.stopMuxButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.9641420404861618
jmencode.ImgPreviewPanel.ancestorMoved,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.aboutMenuItemActionPerformed,0,0,0,0,1,0,0,0,0,2.0566666666666666
jmencode.MuxerForm.run,0,0,0,0,0,0,0,0,0,2.15
jmencode.MainGUI.vidpreviewSliderMouseReleased,0,0,0,0,0,0,0,0,0,0.81
jmencode.MainGUI.viewlogmenuItemActionPerformed,0,0,0,0,0,0,0,0,0,1.2341514548160302
jmencode.MuxerForm.updateCommandfromSettings,1,0,0,0,0,0,0,0,0,0.0
jmencode.PreviewSetupForm.PreviewSetupForm,0,0,0,0,0,0,0,0,0,2.28
jmencode.MplayerController.seekto,1,1,0,0,1,0,0,0,0,1.29
