ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability
com.jcraft.jsch.GlobalRequestReply.setConfig,0,0,0,0,0,0,0,0,0,1.8999999999999997
com.jcraft.jsch.Request.count,0,0,0,0,0,0,0,0,0,2.410159489818615
com.jcraft.jsch.ChannelX11.ChannelX11,0,0,0,0,0,0,0,0,0,0.7207633560075688
com.jcraft.jsch.Request.sendREMOVE,0,0,0,0,0,0,0,0,0,4.41
com.jcraft.jsch.DHG14.getState,0,0,0,0,0,0,0,0,0,2.341977412627973
com.jcraft.jsch.ChannelForwardedTCPIP.getPortForwarding,0,0,0,0,0,0,0,0,0,1.5135861520108516
com.jcraft.jsch.HashedHostKey.hash,0,0,0,0,0,0,0,0,0,1.8782447895878462
com.jcraft.jsch.Request.RequestQueue,0,0,0,0,0,0,0,0,0,1.0433333333333332
com.jcraft.jsch.SftpATTRS.isChr,0,0,0,0,0,0,0,0,0,0.0
com.jcraft.jsch.PassiveOutputStream.sendChannelOpen,0,0,0,0,0,0,0,0,0,2.455495025467034
com.jcraft.jsch.KeyPairDSA.forSSHAgent,0,0,0,0,0,0,0,0,0,1.0624928498087454
com.jcraft.jsch.Request.setCwd,0,0,0,0,0,0,0,0,0,0.0
com.jcraft.jsch.MyPipedInputStream.sendSignal,0,0,0,0,0,0,0,0,0,3.2249999999999996
Empty_package.MyProgressMonitor.init,0,0,0,0,0,0,0,0,0,1.4562374310010018
com.jcraft.jsch.Util.unquote,0,0,0,0,0,0,0,0,0,1.8841581456291066
com.jcraft.jsch.PortWatcher.Non_in_method,0,0,0,0,0,0,0,0,0,2.872086598969093
com.jcraft.jsch.ProxySOCKS4.close,1,0,0,0,0,0,0,0,0,2.3363792016576586
com.jcraft.jsch.ChannelShell.start,0,0,0,0,1,0,0,0,0,2.4965111967430174
com.jcraft.jsch.JSch.setKnownHosts,0,0,0,0,0,2,0,0,0,2.97139902032392
com.jcraft.jsch.Request.read,0,0,0,0,0,0,0,0,0,1.2893557264902422
com.jcraft.jsch.jce.KeyPairGenRSA.getC,0,0,0,1,0,0,0,0,0,0.0
com.jcraft.jsch.UserAuthPassword.start,0,0,0,0,0,0,1,0,0,2.204872791464918
