ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability
junit.tests.runner.StackFilterTest.setUp,0,0,0,0,0,0,0,0,0,1.1417232229305274
org.junit.tests.OneTest.notifyListenersInTheOrderInWhichTheyAreAdded,0,0,0,0,0,0,0,0,0,3.96
org.hamcrest.core.IsNull.describeTo,0,0,0,0,0,0,0,0,0,2.43
org.hamcrest.core.IsSame.IsSame,0,0,0,0,0,0,0,0,0,3.66
junit.tests.framework.TornDown.testSuccess,0,0,0,0,0,0,0,0,0,2.21
junit.samples.money.MoneyTest.testSimpleAdd,0,0,0,0,0,0,0,0,0,0.0
org.junit.tests.CantInitialize.run,0,0,0,0,0,0,0,0,0,0.0
org.junit.tests.ExceptionTest.testException,0,0,0,0,0,0,0,0,0,3.4050000000000002
org.junit.tests.AssertionTest.multiDimensionalIntArraysAreEqual,0,0,0,0,0,0,0,0,0,2.0375
junit.samples.money.MoneyTest.testNormalize3,0,0,0,0,0,0,0,0,0,0.6616666666666667
junit.tests.framework.SuiteTest.testShadowedTests,0,0,0,0,0,0,0,0,0,2.6266075812701333
org.junit.tests.ErrorTest.addFailure,0,0,0,0,0,0,0,0,0,1.965
junit.samples.money.MoneyTest.testBagSimpleAdd,0,0,0,0,0,0,0,0,0,0.0
junit.samples.money.MoneyTest.testMoneyBagEquals,0,0,0,0,0,0,0,0,0,0.64
org.junit.samples.money.MoneyTest.testSimplify,0,0,0,0,0,0,0,0,0,4.54
org.junit.tests.NoneThrown.noneThrown,0,0,0,0,0,0,0,0,0,3.5933333333333337
junit.tests.framework.AllTests.main,0,0,0,0,0,0,0,0,0,0.0
junit.samples.ListTest.main,0,0,0,0,0,0,0,0,0,0.0
junit.samples.money.Empty_class.Non_in_method,0,0,0,0,0,0,0,0,0,0.465
junit.samples.money.Money.Money,0,0,0,0,0,0,0,0,0,2.62125
junit.samples.money.MoneyTest.testIsZero,0,0,0,0,0,0,0,0,0,0.0
junit.samples.ListTest.testRemoveElement,0,0,0,0,0,0,0,0,0,1.4552403493547048
org.junit.tests.Unsortable.unsortablesAreHandledWithoutCrashing,0,0,0,0,0,0,0,0,0,2.81
org.junit.tests.AssertionTest.same,0,0,0,0,0,0,0,0,0,1.985
junit.samples.money.MoneyBag.findMoney,0,0,0,0,0,0,0,0,0,2.125
junit.tests.runner.TestResultPrinter.testOneTest,0,0,0,0,0,0,0,0,0,2.08
junit.tests.framework.ComparisonFailureTest.testConnection,0,0,0,0,0,0,0,0,0,2.08
junit.tests.framework.SuiteTest.testNotPublicTestCase,0,0,0,0,0,0,0,0,0,4.16
org.junit.tests.NewTestSuiteNotUsed.makeSureSuiteNotUsedWithJUnit4Classes2,0,0,0,0,0,0,0,0,0,0.0
junit.samples.money.Money.amount,0,0,0,0,0,0,0,0,0,1.190258365183812
org.hamcrest.core.IsEqual.describeTo,0,0,0,0,0,0,0,0,0,2.969516447423427
org.junit.tests.AnnotationTest.setUp,0,0,0,0,0,0,0,0,0,4.31
junit.tests.framework.TestListenerTest.startTest,0,0,0,0,0,0,0,0,0,2.795869821770645
org.junit.tests.IncorrectTest.failuresAddedForBadTestMethod,0,0,0,0,0,0,0,0,0,2.85
org.junit.tests.ErrorRememberingListener.getError,0,0,0,0,0,0,0,0,0,1.2193388297067793
junit.tests.framework.TestListenerTest.testError,0,0,0,0,0,0,0,0,0,3.93
junit.tests.extensions.TornDown.testSetupErrorInTestSetup,0,0,0,0,0,0,0,0,0,4.16
junit.samples.money.MoneyBag.isZero,0,0,0,0,0,0,0,0,0,0.0
junit.samples.money.MoneyBag.appendMoney,0,0,0,0,0,0,0,0,0,2.1525000000000003
org.junit.tests.FibonacciTest.fib,0,0,0,0,0,0,0,0,0,0.0
junit.samples.money.MoneyTest.testMoneyBagHash,0,0,0,0,0,0,0,0,0,1.28
org.junit.tests.ImpatientLoopTest.runAndTime,0,0,0,0,0,0,0,0,0,2.44625
junit.tests.framework.TestListenerTest.runTest,0,0,0,0,0,0,0,0,0,1.4598220389892191
org.junit.tests.SubWrong.validateInheritedMethods,0,0,0,0,0,0,0,0,0,0.0
org.junit.tests.SubShadows.ParameterizedTestMethodTest,0,0,0,0,0,0,0,0,0,3.375
org.hamcrest.core.IsInstanceOf.IsInstanceOf,0,0,0,0,0,0,0,0,0,2.64
org.junit.tests.ATest.printErrors,0,0,0,0,0,0,0,0,0,2.85
junit.samples.money.MoneyBag.equals,0,0,0,0,0,0,0,0,0,2.0644444444444443
org.hamcrest.CoreMatchers.allOf,0,0,0,0,0,0,0,0,0,0.0
org.hamcrest.CoreMatchers.describedAs,0,0,0,0,0,0,0,0,0,1.7299999999999998
org.junit.samples.ListTest.testCopy,0,0,0,0,0,0,0,0,0,2.706989640443147
org.junit.tests.FibonacciTest.countBeforeRun,0,0,0,0,0,0,0,0,0,4.86
org.junit.tests.EmptyTest.validateClassCatchesNoParameters,0,0,0,0,0,0,0,0,0,2.85
org.junit.tests.AssertionTest.notEqualsObjectWithNullWithMessage,0,0,0,0,0,0,0,0,0,0.0
org.hamcrest.StringDescription.StringDescription,0,0,0,0,0,0,0,0,0,2.73
org.junit.tests.CantInitializeTests.initializationErrorsAreThrownAtRuntime,0,0,0,0,0,0,0,0,0,2.3071570246555275
junit.tests.framework.ComparisonCompactorTest.testComparisonErrorEndSameComplete,0,0,0,0,0,0,0,0,0,2.08
org.junit.tests.CommandLineTest.after,0,0,0,0,0,0,0,0,0,2.6426520392776722
org.hamcrest.core.AnyOf.matches,0,0,0,0,0,0,0,0,0,0.0
junit.samples.ListTest.testContains,0,0,0,0,0,0,0,0,0,1.5325882056651792
org.hamcrest.core.IsNull.nullValue,0,0,0,0,0,0,0,0,0,3.3
org.junit.tests.All.forwardCompatibilityWorksWithGetTests,0,0,0,0,0,0,0,0,0,1.91
org.hamcrest.CoreMatchers.is,0,0,0,0,0,0,0,0,0,2.56
junit.samples.money.MoneyBag.addMoney,0,0,0,0,0,0,0,0,0,0.0
org.junit.tests.AssertionTest.notEqualsNullWithObjectWithMessage,0,0,0,0,0,0,0,0,0,0.0
junit.tests.runner.TestResultPrinter.TestResultPrinter,0,0,0,0,0,0,0,0,0,4.32
org.hamcrest.core.IsSame.sameInstance,0,0,0,0,0,0,0,0,0,3.66
org.hamcrest.internal.SelfDescribingValueIterator.SelfDescribingValueIterator,0,0,0,0,0,0,0,0,0,0.0
junit.tests.framework.TornDown.testWasRun,0,0,0,0,0,0,0,0,0,3.93
org.junit.tests.WithoutDefaultConstructor.WithoutDefaultConstructor,0,0,0,0,0,0,0,0,0,0.0
junit.tests.framework.AssertTest.testAssertSame,0,0,0,0,0,0,0,0,0,0.0
org.junit.samples.money.MoneyTest.testMoneyBagEquals,0,0,0,0,0,0,0,0,0,0.64
org.junit.tests.InfiniteLoopTest.infiniteLoop,0,0,0,0,0,0,0,0,0,2.8866666666666667
org.junit.tests.OneTimeSetup.oneTimeSetup,0,0,0,0,0,0,0,0,0,3.8550000000000004
org.junit.tests.MarkerRunner.MarkerRunner,0,0,0,0,0,0,0,0,0,0.0
junit.samples.money.MoneyTest.testMoneyEquals,0,0,0,0,0,0,0,0,0,1.1833333333333333
org.hamcrest.core.IsNull.matches,0,0,0,0,0,0,0,0,0,0.0
junit.tests.framework.ComparisonCompactorTest.testMessage,0,0,0,0,0,0,0,0,0,2.08
junit.tests.framework.DoubleTestCase.testSuccessfulRun,0,0,0,0,0,0,0,0,0,2.344106808192024
org.junit.samples.money.MoneyTest.setUp,0,0,0,0,0,0,0,0,0,0.0
org.junit.tests.Confused.overloaded,0,0,0,0,0,0,0,0,0,0.0
junit.samples.money.MoneyTest.testBagNegate,0,0,0,0,0,0,0,0,0,0.0
org.junit.tests.Confused.a,0,0,0,0,0,0,0,0,0,0.0
org.hamcrest.BaseDescription.appendValueList,0,0,0,0,0,0,0,0,0,2.5100000000000002
org.junit.tests.OneTest.testRunStarted,0,0,0,0,0,0,0,0,0,2.43
junit.tests.framework.ComparisonCompactorTest.testComparisonErrorStartSameComplete,0,0,0,0,0,0,0,0,0,2.08
junit.tests.framework.TestListenerTest.addFailure,0,0,0,0,0,0,0,0,0,1.8744444444444444
org.junit.tests.NewTestSuiteFails.suiteIsUsedWithJUnit4Classes,0,0,0,0,0,0,0,0,0,2.85
junit.tests.framework.ComparisonCompactorTest.testStartAndEndContext,0,0,0,0,0,0,0,0,0,2.08
org.junit.tests.InfiniteLoop.whatHappensWhenASuiteHasACycle,0,0,0,0,0,0,0,0,0,2.85
org.junit.samples.money.MoneyTest.testNormalize3,0,0,0,0,0,0,0,0,0,0.6616666666666667
org.junit.tests.OldTest.testOldTest,0,0,0,0,0,0,0,0,0,4.86
junit.tests.framework.OneTestCase.testCase,0,0,0,0,0,0,0,0,0,0.0
junit.tests.framework.ComparisonCompactorTest.testNoContextStartAndEndSame,0,0,0,0,0,0,0,0,0,2.08
org.junit.tests.ErrorTest.testException,0,0,0,0,0,0,0,0,0,3.335
org.junit.tests.HasPassingAssumption.assumeNoExceptionThrows,0,0,0,0,0,0,0,0,0,1.85
junit.tests.framework.ComparisonCompactorTest.testComparisonErrorWithExpectedNullContext,0,0,0,0,0,0,0,0,0,2.08
org.junit.samples.money.MoneyTest.testSimpleBagAdd,0,0,0,0,0,0,0,0,0,0.0
org.junit.tests.TestResultPrinter.TestResultPrinter,0,0,0,0,0,0,0,0,0,4.32
org.junit.tests.All.suiteTestCountIsCorrect,0,0,0,0,0,0,0,0,0,4.86
org.hamcrest.core.IsEqual.areArrayElementsEqual,0,0,0,0,0,0,0,0,0,1.3583333333333334
junit.tests.framework.ComparisonCompactorTest.testSame,0,0,0,0,0,0,0,0,0,2.08
org.junit.tests.ExceptionListener.testRunStarted,0,0,0,0,0,0,0,0,0,2.43
junit.samples.SimpleTest.testAdd,0,0,0,0,0,0,0,0,0,2.011622607172223
org.junit.tests.B.enclosedRunnerPlansEnclosedClasses,0,0,0,0,0,0,0,0,0,4.86
org.hamcrest.core.IsEqual.areArrayLengthsEqual,0,0,0,0,0,0,0,0,0,2.0375
org.hamcrest.core.AllOf.AllOf,0,0,0,0,0,0,0,0,0,0.0
org.junit.tests.ExceptionListener.removeFailingListeners,0,0,0,0,0,0,0,0,0,3.271666666666667
junit.tests.runner.TestResultPrinter.testFailure,0,0,0,0,0,0,0,0,0,2.335
junit.tests.framework.TornDown.tearDown,0,0,0,0,0,0,0,0,0,2.502222222222222
org.junit.samples.money.MoneyTest.testMixedSimpleAdd,0,0,0,0,0,0,0,0,0,0.0
org.junit.tests.Hercules.whatHappensWhenASuiteContainsItselfIndirectly,0,0,0,0,0,0,0,0,0,2.85
org.hamcrest.core.AllOf.allOf,0,0,0,0,0,0,0,0,0,0.0
org.junit.samples.money.MoneyTest.testIsZero,0,0,0,0,0,0,0,0,0,0.0
junit.samples.ListTest.testElementAt,0,0,0,0,0,0,0,0,0,0.7638985458330328
org.junit.tests.UnsortableRunner.UnsortableRunner,0,0,0,0,0,0,0,0,0,0.0
org.junit.samples.ListTest.capacity,0,0,0,0,0,0,0,0,0,1.561527283096402
junit.tests.extensions.SuccessTest.testActiveRepeatedTest1,0,0,0,0,0,0,0,0,0,3.39
org.junit.samples.ListTest.removeAll,0,0,0,0,0,0,0,0,0,1.4042956392085928
junit.tests.framework.TestListenerTest.testFailure,0,0,0,0,0,0,0,0,0,3.93
org.junit.tests.SetupTest.testSetup,0,0,0,0,0,0,0,0,0,4.86
org.junit.tests.ErrorInBeforeClass.testErrorInBeforeClass,0,0,0,0,0,0,0,0,0,3.08
junit.tests.runner.TextRunnerTest.write,0,0,0,0,0,0,0,0,0,1.425
org.junit.tests.AssertionTest.assertThatDescriptionCanBeElided,0,0,0,0,0,0,0,0,0,1.4016666666666666
org.junit.tests.AssertionTest.arraysDeclaredAsObjectAreComparedAsObjects,0,0,0,0,0,0,0,0,0,2.7675
org.junit.tests.SortableTest.compare,0,0,0,0,0,0,0,0,0,2.0375
junit.samples.money.MoneyTest.testNormalize2,0,0,0,0,0,0,0,0,0,0.0
junit.samples.money.MoneyTest.testBagSumAdd,0,0,0,0,0,0,0,0,0,0.0
junit.tests.runner.NonStatic.testInvokeNonStaticSuite,0,0,0,0,0,0,0,0,0,4.86
org.hamcrest.internal.ArrayIterator.ArrayIterator,0,0,0,0,0,0,0,0,0,2.54
org.junit.tests.ExceptionListener.freshResultEachTime,0,0,0,0,0,0,0,0,0,3.34
junit.tests.framework.TornDown.testTearDownSetupFails,0,0,0,0,0,0,0,0,0,0.0
org.hamcrest.core.IsEqual.areArraysEqual,0,0,0,0,0,0,0,0,0,2.0375
org.junit.tests.MarkerRunner.run,0,0,0,0,0,0,0,0,0,0.0
junit.tests.extensions.TornDown.testRunningErrorsInTestSetup,0,0,0,0,0,0,0,0,0,2.08
org.junit.tests.NoTests.testToStringSuite,0,0,0,0,0,0,0,0,0,3.82
org.hamcrest.core.IsAnything.describeTo,0,0,0,0,0,0,0,0,0,2.43
org.junit.tests.ATest.expected,0,0,0,0,0,0,0,0,0,0.54
junit.tests.framework.TornDown.testError,0,0,0,0,0,0,0,0,0,2.68
junit.tests.extensions.TornDown.testRunningErrorInTestSetup,0,0,0,0,0,0,0,0,0,3.93
org.junit.samples.money.MoneyTest.testSimpleNegate,0,0,0,0,0,0,0,0,0,0.0
junit.samples.money.MoneyTest.testBagMultiply,0,0,0,0,0,0,0,0,0,0.0
junit.tests.framework.TornDown.testErrorTearingDownDoesntMaskErrorRunning,0,0,0,0,0,0,0,0,0,2.135
org.junit.tests.ParameterizedOneTimeSetup.shouldRun,0,0,0,0,0,0,0,0,0,2.43
org.junit.tests.All.ensureSuitesWorkWithForwardCompatibility,0,0,0,0,0,0,0,0,0,3.39
org.junit.samples.money.MoneyTest.testMoneyEquals,0,0,0,0,0,0,0,0,0,1.1833333333333333
junit.samples.money.Money.currency,0,0,0,0,0,0,0,0,0,1.82923186851912
junit.tests.runner.MockRunner.testFailed,0,0,0,0,0,0,0,0,0,2.0566666666666666
org.junit.tests.AssertionTest.notSame,0,0,0,0,0,0,0,0,0,2.0375
junit.tests.runner.MockRunner.testStarted,0,0,0,0,0,0,0,0,0,3.715
org.junit.tests.AssumptionViolatedExceptionTest.toStringIsUseful,0,0,0,0,0,0,0,0,0,2.49
org.hamcrest.core.IsEqual.IsEqual,0,0,0,0,0,0,0,0,0,2.47
junit.samples.money.MoneyTest.testBagNotEquals,0,0,0,0,0,0,0,0,0,1.6333333333333335
junit.samples.money.MoneyBag.addMoneyBag,0,0,0,0,0,0,0,0,0,0.0
junit.tests.framework.SuiteTest.testCreateSuiteFromArray,0,0,0,0,0,0,0,0,0,4.16
junit.tests.runner.TestResultPrinter.testTwoTests,0,0,0,0,0,0,0,0,0,2.08
junit.samples.money.MoneyBag.subtract,0,0,0,0,0,0,0,0,0,0.0
org.junit.tests.AssertionTest.arraysWithNullElementEqual,0,0,0,0,0,0,0,0,0,2.0375
org.junit.tests.NewTest.testUseGlobalCache,0,0,0,0,0,0,0,0,0,3.9475
org.junit.tests.RunAllAftersRegardless.testRunAllAftersRegardless,0,0,0,0,0,0,0,0,0,3.4050000000000002
org.hamcrest.BaseDescription.appendList,0,0,0,0,0,0,0,0,0,2.5922222222222224
junit.tests.extensions.AllTests.suite,0,0,0,0,0,0,0,0,0,4.16
org.junit.tests.SubShadowing.testShadowing,0,0,0,0,0,0,0,0,0,3.96
junit.samples.money.MoneyTest.testMixedSimpleAdd,0,0,0,0,0,0,0,0,0,0.0
junit.tests.framework.SuiteTest.testNotVoidTestCase,0,0,0,0,0,0,0,0,0,4.16
org.hamcrest.CoreMatchers.sameInstance,0,0,0,0,0,0,0,0,0,3.66
org.junit.samples.money.MoneyTest.zeroMoniesAreEqualRegardlessOfCurrency,0,0,0,0,0,0,0,0,0,1.43
org.junit.tests.AssertionTest.objectsAreSame,0,0,0,0,0,0,0,0,0,0.0
org.junit.tests.TestResultPrinter.elapsedTimeAsString,0,0,0,0,0,0,0,0,0,3.6899999999999995
junit.samples.SimpleTest.testDivideByZero,0,0,0,0,0,0,0,0,0,2.855
junit.tests.framework.TornDown.testNoArgTestCasePasses,0,0,0,0,0,0,0,0,0,1.425
org.hamcrest.core.AllOf.matches,0,0,0,0,0,0,0,0,0,0.0
junit.samples.money.MoneyTest.testSimplify,0,0,0,0,0,0,0,0,0,4.54
org.junit.tests.BothTest.threeOrsWork,0,0,0,0,0,0,0,0,0,2.7800000000000002
org.hamcrest.BaseDescription.appendValue,0,0,0,0,0,0,0,0,0,1.5327115901058284
org.hamcrest.core.IsEqual.areEqual,0,0,0,0,0,0,0,0,0,2.0375
junit.tests.framework.TornDown.testSetupFails,0,0,0,0,0,0,0,0,0,0.0
