ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability,Lines
com.eviware.soapui.impl.wsdl.actions.iface.tools.support.ProcessToolRunner.afterRun,0,0,0,0,0,0,0,0,0,2.8175,3
com.eviware.soapui.impl.wsdl.panels.request.AbstractWsdlRequestDesktopPanel.focusGained,0,0,0,0,0,0,0,0,0,1.671756575349529,3
com.eviware.soapui.impl.wsdl.submit.transports.http.MimeMessageResponse.getTimestamp,0,0,0,0,0,0,0,0,0,2.9551817073190136,1
com.eviware.soapui.impl.wsdl.testcase.WsdlTestCase.removeLoadTest,0,0,0,0,0,0,0,0,0,1.6589191906811374,5
com.eviware.soapui.impl.wsdl.panels.testcase.WsdlTestCaseDesktopPanel.addTabs,0,0,0,0,0,0,0,0,0,2.2305045697361474,4
com.eviware.soapui.impl.wsdl.testcase.WsdlTestRunContext.reset,0,0,0,0,0,0,0,0,0,2.760338983066691,2
com.eviware.soapui.impl.wsdl.panels.request.components.editor.inspectors.aut.RequestAutInspector.locationChanged,0,0,0,0,0,0,0,0,0,3.0,0
com.eviware.soapui.impl.wsdl.panels.loadtest.JStatisticsGraph.buildLegend,0,0,0,0,0,0,0,0,0,2.0238693849712566,13
com.eviware.soapui.impl.wsdl.teststeps.TestRequestIconAnimator.importAssertion,0,0,0,0,0,0,0,0,0,2.37191410691408,12
com.eviware.soapui.support.xml.JXEditTextArea.createUndoMananger,0,0,0,0,0,0,0,0,0,2.0057808468993215,2
com.eviware.soapui.impl.wsdl.support.wsdl.WsdlUtils.getFaultParts,0,0,0,0,0,0,0,0,0,2.9196310584330827,12
org.syntax.jedit.tokenmarker.TokenMarker.markTokens,0,0,0,0,0,0,0,0,0,2.7439569460163002,13
com.eviware.soapui.impl.wsdl.WsdlProject.save,0,0,0,0,0,0,0,1,0,3.192746415939236,28
com.eviware.soapui.impl.wsdl.panels.teststeps.GotoStepDesktopPanel.getTestStepsCombo,0,0,0,0,0,0,0,0,0,3.002380033078805,1
com.eviware.soapui.DefaultSoapUICore.initLog,0,0,0,0,0,0,1,0,0,2.3853166237834893,11
com.eviware.soapui.impl.wsdl.teststeps.WsdlTestRequestStepResult.getDomain,0,0,0,0,0,0,0,0,0,1.162024092684425,1
